step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,2.14743,"{""ntp"": 2.1474320888519287}",0.00000,0.04688,9.80,1.60e-03,168327
800,2.08836,"{""ntp"": 2.0883584022521973}",0.00000,0.07031,8.36,2.00e-03,171852
1200,2.02696,"{""ntp"": 2.0269620418548584}",0.00000,0.07812,10.93,2.00e-03,172684
1600,1.96871,"{""ntp"": 1.968706727027893}",0.00000,0.07031,7.56,2.00e-03,173410
2000,1.94991,"{""ntp"": 1.9499146938323975}",0.00000,0.05859,7.02,2.00e-03,173742
2400,1.92271,"{""ntp"": 1.922708511352539}",0.00000,0.06641,8.68,2.00e-03,174119
2800,1.91221,"{""ntp"": 1.912209153175354}",0.00000,0.06250,7.28,2.00e-03,174542
3200,1.92846,"{""ntp"": 1.9284610748291016}",0.00000,0.04297,8.39,2.00e-03,174871
3600,1.90580,"{""ntp"": 1.9058036804199219}",0.00000,0.05078,11.78,2.00e-03,175124
4000,1.89638,"{""ntp"": 1.8963767290115356}",0.00000,0.04688,6.71,2.00e-03,175377
4400,1.87707,"{""ntp"": 1.8770684003829956}",0.00000,0.04297,7.20,2.00e-03,175571
4800,1.88111,"{""ntp"": 1.8811132907867432}",0.00000,0.06250,8.21,2.00e-03,175763
5200,1.89433,"{""ntp"": 1.8943296670913696}",0.00000,0.05078,5.58,2.00e-03,175912
5600,1.84675,"{""ntp"": 1.8467527627944946}",0.00000,0.07812,7.21,2.00e-03,176032
6000,1.84265,"{""ntp"": 1.842652678489685}",0.00000,0.07422,4.43,2.00e-03,176186
6400,1.83594,"{""ntp"": 1.8359366655349731}",0.00000,0.06250,6.38,2.00e-03,176275
6800,1.80657,"{""ntp"": 1.80657160282135}",0.00000,0.05469,6.46,2.00e-03,176375
7200,1.82214,"{""ntp"": 1.8221379518508911}",0.00000,0.04297,4.90,2.00e-03,176471
7600,1.83181,"{""ntp"": 1.8318122625350952}",0.00000,0.03906,4.49,2.00e-03,176571
8000,1.78440,"{""ntp"": 1.7843992710113525}",0.00000,0.03516,4.41,2.00e-03,176661
8400,1.78241,"{""ntp"": 1.782408595085144}",0.00000,0.03906,4.36,2.00e-03,176762
8800,1.78712,"{""ntp"": 1.78711998462677}",0.00000,0.04688,4.58,2.00e-03,176871
9200,1.77168,"{""ntp"": 1.7716796398162842}",0.00000,0.05078,3.98,2.00e-03,176982
9600,1.76474,"{""ntp"": 1.7647383213043213}",0.00000,0.05078,3.61,2.00e-03,177088
10000,1.77215,"{""ntp"": 1.7721531391143799}",0.00000,0.03516,5.95,2.00e-03,177170
10400,1.76313,"{""ntp"": 1.7631314992904663}",0.00000,0.03906,4.69,2.00e-03,177245
10800,1.76402,"{""ntp"": 1.7640239000320435}",0.00000,0.05469,6.00,2.00e-03,177311
11200,1.74949,"{""ntp"": 1.749493956565857}",0.00000,0.06641,4.93,2.00e-03,177380
11600,1.73541,"{""ntp"": 1.7354081869125366}",0.00000,0.07422,4.24,2.00e-03,177434
12000,1.76561,"{""ntp"": 1.7656097412109375}",0.00000,0.07812,6.73,2.00e-03,177492
12400,1.72073,"{""ntp"": 1.7207307815551758}",0.00000,0.04688,5.45,2.00e-03,177526
12800,1.74256,"{""ntp"": 1.7425634860992432}",0.00000,0.05469,5.25,2.00e-03,177578
13200,1.72542,"{""ntp"": 1.725419282913208}",0.00000,0.04297,4.42,2.00e-03,177615
13600,1.71809,"{""ntp"": 1.7180947065353394}",0.00000,0.06250,4.33,2.00e-03,177646
14000,1.74125,"{""ntp"": 1.7412539720535278}",0.00000,0.05078,4.86,2.00e-03,177674
14400,1.73735,"{""ntp"": 1.7373517751693726}",0.00000,0.03906,6.09,2.00e-03,177699
14800,1.73446,"{""ntp"": 1.7344608306884766}",0.00000,0.06641,6.35,2.00e-03,177728
15200,1.74488,"{""ntp"": 1.7448755502700806}",0.00000,0.05078,5.82,2.00e-03,177747
15600,1.73178,"{""ntp"": 1.7317848205566406}",0.00000,0.03906,5.56,2.00e-03,177773
16000,1.71140,"{""ntp"": 1.7114001512527466}",0.00000,0.06641,5.29,2.00e-03,177794
16400,1.72689,"{""ntp"": 1.726885437965393}",0.00000,0.08203,6.11,2.00e-03,177818
16800,1.71208,"{""ntp"": 1.7120826244354248}",0.00000,0.03516,7.22,2.00e-03,177842
17200,1.72883,"{""ntp"": 1.7288281917572021}",0.00000,0.02344,7.23,2.00e-03,177859
17600,1.70844,"{""ntp"": 1.7084404230117798}",0.00000,0.01953,7.96,2.00e-03,177886
18000,1.72735,"{""ntp"": 1.7273461818695068}",0.00000,0.04297,7.36,2.00e-03,177918
18400,1.72280,"{""ntp"": 1.722795844078064}",0.00000,0.05469,7.43,2.00e-03,177946
18800,1.70615,"{""ntp"": 1.7061500549316406}",0.00000,0.08203,8.95,2.00e-03,177971
19200,1.72254,"{""ntp"": 1.7225419282913208}",0.00000,0.04297,8.75,2.00e-03,177989
19600,1.71006,"{""ntp"": 1.7100647687911987}",0.00000,0.03516,7.33,2.00e-03,177997
20000,1.70203,"{""ntp"": 1.7020314931869507}",0.00000,0.06641,8.52,2.00e-03,178002
20400,1.71824,"{""ntp"": 1.718239426612854}",0.00000,0.05859,9.02,2.00e-03,178015
20800,1.68987,"{""ntp"": 1.689870834350586}",0.00000,0.05859,8.99,2.00e-03,178038
21200,1.72131,"{""ntp"": 1.7213071584701538}",0.00000,0.05859,9.36,2.00e-03,178036
21600,1.67138,"{""ntp"": 1.6713769435882568}",0.00000,0.09375,9.20,2.00e-03,177994
22000,0.46015,"{""ntp"": 0.4601500928401947}",0.41797,0.83203,8.82,2.00e-03,177959
22400,0.04685,"{""ntp"": 0.04684966057538986}",0.84375,0.95312,5.11,2.00e-03,177943
22800,0.01158,"{""ntp"": 0.011583262123167515}",0.96484,0.98828,8.98,2.00e-03,177933
23200,0.00538,"{""ntp"": 0.005375873763114214}",0.98828,0.99609,8.30,2.00e-03,177903
23600,0.00156,"{""ntp"": 0.0015568055678158998}",0.99219,1.00000,6.74,2.00e-03,177887
24000,0.00888,"{""ntp"": 0.00888135563582182}",1.00000,1.00000,7.32,2.00e-03,177859
24400,0.00550,"{""ntp"": 0.005497691687196493}",0.99219,0.99609,7.59,2.00e-03,177823
24800,0.00084,"{""ntp"": 0.0008393755997531116}",0.98828,1.00000,7.68,2.00e-03,177796
25200,0.00993,"{""ntp"": 0.009928165003657341}",0.98047,1.00000,5.93,2.00e-03,177776
25600,0.01128,"{""ntp"": 0.011282735504209995}",0.99219,1.00000,6.92,2.00e-03,177766
26000,0.00038,"{""ntp"": 0.0003844191669486463}",1.00000,1.00000,7.92,2.00e-03,177740
26400,0.00869,"{""ntp"": 0.008690079674124718}",1.00000,1.00000,7.78,2.00e-03,177741
26800,0.00007,"{""ntp"": 7.494868623325601e-05}",1.00000,1.00000,9.86,2.00e-03,177718
27200,0.00122,"{""ntp"": 0.0012165441876277328}",1.00000,1.00000,6.90,2.00e-03,177696
27600,0.00006,"{""ntp"": 6.351456249831244e-05}",0.99609,1.00000,6.88,2.00e-03,177663
28000,0.00004,"{""ntp"": 4.4798005546908826e-05}",1.00000,1.00000,10.07,2.00e-03,177631
28400,0.00005,"{""ntp"": 4.630984767572954e-05}",1.00000,1.00000,9.17,2.00e-03,177617
28800,0.00055,"{""ntp"": 0.0005464895511977375}",1.00000,1.00000,6.18,2.00e-03,177603
29200,0.00001,"{""ntp"": 1.3237417078926228e-05}",1.00000,1.00000,7.09,2.00e-03,177589
29600,0.00015,"{""ntp"": 0.00014987948816269636}",1.00000,1.00000,8.82,2.00e-03,177560
30000,0.00076,"{""ntp"": 0.0007609809981659055}",1.00000,1.00000,7.20,2.00e-03,177542
30400,0.00005,"{""ntp"": 5.3227679018164054e-05}",1.00000,1.00000,7.99,2.00e-03,177521
30800,0.00000,"{""ntp"": 9.226458246303082e-07}",1.00000,1.00000,10.64,2.00e-03,177511
31200,0.00012,"{""ntp"": 0.00011740937043214217}",1.00000,1.00000,10.87,2.00e-03,177514
31600,0.00003,"{""ntp"": 2.641795072122477e-05}",1.00000,1.00000,12.40,2.00e-03,177499
32000,0.00082,"{""ntp"": 0.0008246022625826299}",1.00000,1.00000,12.48,2.00e-03,177475
32400,0.00000,"{""ntp"": 3.47378403375842e-07}",1.00000,1.00000,16.01,2.00e-03,177449
32800,0.00026,"{""ntp"": 0.0002627932117320597}",1.00000,1.00000,9.18,2.00e-03,177426
33200,0.01077,"{""ntp"": 0.010765226557850838}",0.99609,1.00000,8.33,2.00e-03,177399
33600,0.00000,"{""ntp"": 6.998049002504558e-07}",1.00000,1.00000,12.72,2.00e-03,177369
34000,0.00053,"{""ntp"": 0.0005322415381669998}",0.98828,1.00000,12.74,2.00e-03,177353
34400,0.00005,"{""ntp"": 5.322407014318742e-05}",1.00000,1.00000,13.66,2.00e-03,177326
34800,0.00004,"{""ntp"": 4.320258813095279e-05}",1.00000,1.00000,16.12,2.00e-03,177305
35200,0.00011,"{""ntp"": 0.00011107295722467825}",1.00000,1.00000,16.40,2.00e-03,177291
35600,0.00001,"{""ntp"": 6.438597665692214e-06}",1.00000,1.00000,16.35,2.00e-03,177273
36000,0.00001,"{""ntp"": 5.802922260045307e-06}",1.00000,1.00000,19.43,2.00e-03,177246
36400,0.00000,"{""ntp"": 5.268605818287142e-08}",1.00000,1.00000,15.67,2.00e-03,177223
36800,0.00000,"{""ntp"": 8.686395744916808e-07}",1.00000,1.00000,19.63,2.00e-03,177209
37200,0.00003,"{""ntp"": 2.9796397939207964e-05}",1.00000,1.00000,23.11,2.00e-03,177200
37600,0.00005,"{""ntp"": 5.252862683846615e-05}",1.00000,1.00000,17.65,2.00e-03,177162
38000,0.00000,"{""ntp"": 9.446269544355346e-09}",1.00000,1.00000,16.04,2.00e-03,177138
38400,0.00000,"{""ntp"": 0.0}",1.00000,1.00000,17.53,2.00e-03,177110
38800,0.00000,"{""ntp"": 6.652303707888052e-10}",1.00000,1.00000,19.51,2.00e-03,177085
39200,0.00000,"{""ntp"": 1.1974146119086981e-09}",1.00000,1.00000,20.69,2.00e-03,177069
39600,0.00000,"{""ntp"": 1.0643684822397859e-09}",1.00000,1.00000,20.54,2.00e-03,177051
40000,0.00000,"{""ntp"": 1.5965528898931325e-09}",1.00000,1.00000,20.27,2.00e-03,177039
40400,0.00000,"{""ntp"": 2.3948292238173963e-09}",1.00000,1.00000,19.67,2.00e-03,177021
40800,0.00000,"{""ntp"": 3.0600593170504453e-09}",1.00000,1.00000,17.20,2.00e-03,177011
41200,0.00000,"{""ntp"": 9.579316007091165e-09}",1.00000,1.00000,15.34,2.00e-03,177003
41600,0.00000,"{""ntp"": 2.0888231588855888e-08}",1.00000,1.00000,13.23,2.00e-03,176999
42000,0.00000,"{""ntp"": 0.0}",1.00000,1.00000,9.89,2.00e-03,176988
42400,0.00000,"{""ntp"": 1.4368973566547538e-08}",1.00000,1.00000,10.96,2.00e-03,176972
42800,0.00000,"{""ntp"": 0.0}",1.00000,1.00000,9.37,2.00e-03,176949
43200,0.00000,"{""ntp"": 1.4635066492019178e-09}",1.00000,1.00000,8.90,2.00e-03,176936
43600,0.00000,"{""ntp"": 2.7540535185721637e-08}",1.00000,1.00000,10.14,2.00e-03,176921
44000,0.00000,"{""ntp"": 1.6497709864893295e-08}",1.00000,1.00000,8.59,2.00e-03,176902
44400,0.00000,"{""ntp"": 2.4879613036432602e-08}",1.00000,1.00000,9.82,2.00e-03,176899
44800,0.00000,"{""ntp"": 9.845408044384385e-09}",1.00000,1.00000,8.74,2.00e-03,176887
45200,0.00000,"{""ntp"": 1.0244547432591844e-08}",1.00000,1.00000,10.35,2.00e-03,176866
45600,0.00000,"{""ntp"": 2.035604218519893e-08}",1.00000,1.00000,9.65,2.00e-03,176853
46000,0.00000,"{""ntp"": 0.0}",1.00000,1.00000,10.43,2.00e-03,176844
46400,0.00000,"{""ntp"": 6.7853491714231495e-09}",1.00000,1.00000,9.52,2.00e-03,176814
46800,0.00000,"{""ntp"": 1.6497709864893295e-08}",1.00000,1.00000,10.08,2.00e-03,176806
47200,0.00000,"{""ntp"": 3.512415602813235e-08}",1.00000,1.00000,9.93,2.00e-03,176784
47600,0.00000,"{""ntp"": 4.310688339614899e-08}",1.00000,1.00000,10.58,2.00e-03,177000
48000,0.00000,"{""ntp"": 4.1776463177711776e-08}",1.00000,1.00000,9.91,2.00e-03,176987
