step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,2.22087,"{""ntp"": 2.2208728790283203}",0.00000,0.00781,14.25,1.67e-04,183651
800,2.10732,"{""ntp"": 2.1073224544525146}",0.00000,0.04688,11.87,3.33e-04,182386
1200,2.00523,"{""ntp"": 2.005232572555542}",0.00000,0.03906,17.00,5.00e-04,181745
1600,1.92566,"{""ntp"": 1.9256610870361328}",0.00000,0.09375,11.00,6.67e-04,181347
2000,1.86922,"{""ntp"": 1.8692198991775513}",0.00000,0.06641,7.20,8.33e-04,181114
2400,1.86046,"{""ntp"": 1.8604587316513062}",0.00000,0.05859,11.99,1.00e-03,180973
2800,0.00161,"{""ntp"": 0.0016127534909173846}",0.99609,0.99609,11.83,1.17e-03,180893
3200,0.00271,"{""ntp"": 0.0027068681083619595}",1.00000,1.00000,10.47,1.33e-03,180819
3600,0.00196,"{""ntp"": 0.0019557750783860683}",0.98828,0.99609,11.07,1.50e-03,180748
4000,0.00050,"{""ntp"": 0.0004960568621754646}",1.00000,1.00000,10.58,1.67e-03,180713
4400,0.00340,"{""ntp"": 0.0034046252258121967}",1.00000,1.00000,13.36,1.83e-03,180710
4800,0.00902,"{""ntp"": 0.009016626514494419}",1.00000,1.00000,13.55,2.00e-03,180724
5200,0.00011,"{""ntp"": 0.00011210615775780752}",1.00000,1.00000,14.93,2.00e-03,180726
5600,0.00088,"{""ntp"": 0.0008847058634273708}",0.99609,1.00000,10.59,2.00e-03,180751
6000,0.00067,"{""ntp"": 0.000672400405164808}",0.99219,1.00000,11.01,2.00e-03,180801
6400,0.00013,"{""ntp"": 0.00012515556591097265}",1.00000,1.00000,12.55,2.00e-03,180849
6800,0.00017,"{""ntp"": 0.00016589672304689884}",0.99219,1.00000,15.68,2.00e-03,180864
7200,0.00779,"{""ntp"": 0.0077866497449576855}",1.00000,1.00000,13.50,2.00e-03,180901
7600,0.00009,"{""ntp"": 8.88402501004748e-05}",1.00000,1.00000,13.15,2.00e-03,180926
8000,0.00001,"{""ntp"": 1.1481221008580178e-05}",1.00000,1.00000,10.59,2.00e-03,180976
8400,0.00002,"{""ntp"": 2.2828842702438124e-05}",1.00000,1.00000,12.73,2.00e-03,181030
8800,0.00000,"{""ntp"": 2.6143402465095278e-06}",1.00000,1.00000,12.76,2.00e-03,181048
9200,0.00044,"{""ntp"": 0.00044215991511009634}",1.00000,1.00000,12.15,2.00e-03,181068
9600,0.00114,"{""ntp"": 0.0011355791939422488}",0.99219,0.99609,13.75,2.00e-03,181083
10000,0.00005,"{""ntp"": 4.660087142838165e-05}",1.00000,1.00000,15.20,2.00e-03,181111
10400,0.00002,"{""ntp"": 2.0514175048447214e-05}",0.99609,1.00000,12.20,2.00e-03,181120
10800,0.00002,"{""ntp"": 1.5744033589726314e-05}",1.00000,1.00000,11.57,2.00e-03,181138
11200,0.00000,"{""ntp"": 1.0377592118970824e-08}",1.00000,1.00000,13.28,2.00e-03,181155
11600,0.00000,"{""ntp"": 2.513235983769846e-07}",1.00000,1.00000,13.96,2.00e-03,181166
12000,0.00000,"{""ntp"": 4.097817551951266e-08}",1.00000,1.00000,13.74,2.00e-03,181184
12400,0.00000,"{""ntp"": 5.4548889849570514e-09}",1.00000,1.00000,13.26,2.00e-03,181184
12800,0.00000,"{""ntp"": 1.5566389066634656e-08}",1.00000,1.00000,12.32,2.00e-03,181192
13200,0.00000,"{""ntp"": 7.15787322747019e-08}",1.00000,1.00000,13.65,2.00e-03,181198
13600,0.00000,"{""ntp"": 2.567789003649068e-08}",1.00000,1.00000,13.38,2.00e-03,181210
14000,0.00000,"{""ntp"": 3.5656345431789305e-08}",1.00000,1.00000,14.38,2.00e-03,181226
14400,0.00011,"{""ntp"": 0.00011134021769976243}",1.00000,1.00000,10.68,2.00e-03,181249
14800,0.00000,"{""ntp"": 1.507999400018889e-06}",1.00000,1.00000,10.58,2.00e-03,181279
15200,0.00000,"{""ntp"": 1.3969836842875338e-08}",1.00000,1.00000,9.99,2.00e-03,181290
15600,0.00012,"{""ntp"": 0.00012125140347052366}",1.00000,1.00000,9.86,2.00e-03,181296
16000,0.00000,"{""ntp"": 1.6497702759465938e-08}",1.00000,1.00000,11.18,2.00e-03,181292
16400,0.00000,"{""ntp"": 5.0025317221980004e-08}",1.00000,1.00000,10.42,2.00e-03,181302
16800,0.00000,"{""ntp"": 2.1287369644795717e-09}",1.00000,1.00000,10.83,2.00e-03,181303
17200,0.00741,"{""ntp"": 0.0074077327735722065}",1.00000,1.00000,9.16,2.00e-03,181283
17600,0.00000,"{""ntp"": 2.128736742434967e-09}",1.00000,1.00000,9.50,2.00e-03,181271
18000,0.00000,"{""ntp"": 3.0733637856883433e-08}",1.00000,1.00000,9.71,2.00e-03,181254
18400,0.00000,"{""ntp"": 1.5965528898931325e-09}",1.00000,1.00000,9.21,2.00e-03,181256
18800,0.00000,"{""ntp"": 6.040291111730767e-08}",1.00000,1.00000,11.60,2.00e-03,181240
19200,0.00000,"{""ntp"": 6.29307876920393e-08}",1.00000,1.00000,12.07,2.00e-03,181238
19600,0.00000,"{""ntp"": 7.676757007857304e-08}",1.00000,1.00000,11.09,2.00e-03,181217
20000,0.00000,"{""ntp"": 7.423970771469612e-08}",1.00000,1.00000,9.15,2.00e-03,181234
20400,0.00000,"{""ntp"": 3.246324098427067e-08}",1.00000,1.00000,7.73,2.00e-03,181235
20800,0.00000,"{""ntp"": 5.960463766996327e-08}",1.00000,1.00000,6.80,2.00e-03,181240
21200,0.00000,"{""ntp"": 5.4282793371385196e-08}",1.00000,1.00000,6.29,2.00e-03,181237
21600,0.00000,"{""ntp"": 5.840722039351931e-08}",1.00000,1.00000,5.87,2.00e-03,181224
22000,0.00000,"{""ntp"": 1.2280150940569e-07}",1.00000,1.00000,5.56,2.00e-03,181218
22400,0.01704,"{""ntp"": 0.017036480829119682}",1.00000,1.00000,4.57,2.00e-03,181212
22800,0.00000,"{""ntp"": 3.690729499794543e-06}",0.98438,0.99219,9.54,2.00e-03,181228
23200,0.00000,"{""ntp"": 1.3304602974884006e-09}",1.00000,1.00000,9.15,2.00e-03,181246
23600,0.00001,"{""ntp"": 8.910714313969947e-06}",0.99609,1.00000,8.61,2.00e-03,181262
24000,0.00000,"{""ntp"": 1.1974142788417907e-09}",1.00000,1.00000,9.06,2.00e-03,181273
24400,0.00000,"{""ntp"": 1.130886229105954e-08}",1.00000,1.00000,8.13,2.00e-03,181282
24800,0.00000,"{""ntp"": 8.421237680522609e-07}",1.00000,1.00000,9.38,2.00e-03,181288
25200,0.00000,"{""ntp"": 1.9956893915207274e-09}",1.00000,1.00000,9.07,2.00e-03,181292
25600,0.00000,"{""ntp"": 1.1874386700583273e-06}",1.00000,1.00000,9.09,2.00e-03,181290
26000,0.00000,"{""ntp"": 6.918384976017933e-09}",1.00000,1.00000,7.22,2.00e-03,181286
26400,0.00000,"{""ntp"": 0.0}",1.00000,1.00000,9.21,2.00e-03,181291
26800,0.00001,"{""ntp"": 8.696842996869236e-06}",1.00000,1.00000,5.61,2.00e-03,181294
27200,0.00000,"{""ntp"": 1.4635066492019178e-09}",1.00000,1.00000,4.88,2.00e-03,181297
27600,0.00000,"{""ntp"": 3.0341598176164553e-06}",0.99609,1.00000,5.26,2.00e-03,181298
28000,0.00000,"{""ntp"": 6.91839341371292e-09}",1.00000,1.00000,4.36,2.00e-03,181303
28400,0.00000,"{""ntp"": 8.381897842468788e-09}",1.00000,1.00000,4.99,2.00e-03,181305
28800,0.00000,"{""ntp"": 2.5810805936998804e-08}",0.99609,1.00000,6.18,2.00e-03,181305
29200,0.00000,"{""ntp"": 1.1694616119939383e-07}",1.00000,1.00000,5.63,2.00e-03,181310
29600,0.00000,"{""ntp"": 4.217551818896936e-08}",1.00000,1.00000,6.16,2.00e-03,181317
30000,0.00003,"{""ntp"": 2.6741194233181886e-05}",0.98828,0.99609,5.18,2.00e-03,181325
30400,0.00000,"{""ntp"": 1.1974146119086981e-09}",1.00000,1.00000,6.63,2.00e-03,181331
30800,0.00000,"{""ntp"": 3.363273606282746e-07}",1.00000,1.00000,5.17,2.00e-03,181336
31200,0.00000,"{""ntp"": 4.370452586499596e-07}",1.00000,1.00000,5.01,2.00e-03,181336
31600,0.00000,"{""ntp"": 0.0}",1.00000,1.00000,6.04,2.00e-03,181335
32000,0.00000,"{""ntp"": 1.5269806681317277e-06}",1.00000,1.00000,6.30,2.00e-03,181339
32400,0.00000,"{""ntp"": 1.3304607415776104e-10}",1.00000,1.00000,5.62,2.00e-03,181344
32800,0.00000,"{""ntp"": 4.4835832824219324e-08}",1.00000,1.00000,6.45,2.00e-03,181348
33200,0.00026,"{""ntp"": 0.00025543192168697715}",1.00000,1.00000,5.49,2.00e-03,181349
33600,0.00000,"{""ntp"": 1.1974146119086981e-09}",1.00000,1.00000,4.57,2.00e-03,181346
34000,0.00000,"{""ntp"": 1.51672363557509e-08}",1.00000,1.00000,5.31,2.00e-03,181342
34400,0.00000,"{""ntp"": 4.0179418903107944e-08}",1.00000,1.00000,5.88,2.00e-03,181343
34800,0.00000,"{""ntp"": 1.035778609548288e-06}",1.00000,1.00000,4.56,2.00e-03,181340
35200,0.00000,"{""ntp"": 2.5326869490527315e-06}",1.00000,1.00000,5.31,2.00e-03,181341
35600,0.00000,"{""ntp"": 1.6630670174322404e-08}",1.00000,1.00000,5.97,2.00e-03,181342
36000,0.00000,"{""ntp"": 2.168640911293096e-08}",1.00000,1.00000,6.01,2.00e-03,181342
36400,0.00000,"{""ntp"": 7.98276389435415e-10}",1.00000,1.00000,7.11,2.00e-03,181342
36800,0.00000,"{""ntp"": 1.1974145008863957e-09}",1.00000,1.00000,6.56,2.00e-03,181344
37200,0.00000,"{""ntp"": 4.9758870801497324e-08}",1.00000,1.00000,6.28,2.00e-03,181342
37600,0.00000,"{""ntp"": 6.732092572292458e-08}",1.00000,1.00000,5.20,2.00e-03,181341
38000,0.00033,"{""ntp"": 0.000328414753312245}",1.00000,1.00000,4.93,2.00e-03,181336
38400,0.00000,"{""ntp"": 6.025139214216324e-07}",1.00000,1.00000,6.48,2.00e-03,181333
38800,0.00000,"{""ntp"": 0.0}",1.00000,1.00000,6.71,2.00e-03,181329
39200,0.00000,"{""ntp"": 1.4102882417432738e-08}",1.00000,1.00000,6.28,2.00e-03,181319
39600,0.00000,"{""ntp"": 3.1931040034294256e-09}",1.00000,1.00000,6.25,2.00e-03,181317
