step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,2.17347,"{""ntp"": 2.173466920852661}",0.00000,0.02734,16.35,4.17e-04,177504
800,2.07493,"{""ntp"": 2.0749313831329346}",0.00000,0.03516,10.89,8.33e-04,181066
1200,1.95551,"{""ntp"": 1.9555100202560425}",0.00000,0.08203,2.82,1.00e-03,181907
1600,1.87458,"{""ntp"": 1.874583125114441}",0.00000,0.06250,2.36,1.00e-03,182013
2000,1.85699,"{""ntp"": 1.856993556022644}",0.00000,0.05078,1.66,1.00e-03,181998
2400,1.80898,"{""ntp"": 1.8089779615402222}",0.00000,0.04688,1.47,1.00e-03,181984
2800,1.81387,"{""ntp"": 1.8138713836669922}",0.00000,0.05078,1.53,1.00e-03,181981
3200,1.82108,"{""ntp"": 1.8210794925689697}",0.00000,0.04297,1.25,1.00e-03,181878
3600,1.79074,"{""ntp"": 1.7907350063323975}",0.00000,0.05469,1.33,1.00e-03,181740
4000,1.77272,"{""ntp"": 1.7727211713790894}",0.00000,0.05078,1.30,1.00e-03,181628
4400,1.80089,"{""ntp"": 1.8008861541748047}",0.00000,0.04688,1.36,1.00e-03,181509
4800,1.77271,"{""ntp"": 1.7727082967758179}",0.00000,0.02344,1.13,1.00e-03,181411
5200,1.77074,"{""ntp"": 1.7707360982894897}",0.00000,0.02734,1.27,1.00e-03,181389
5600,1.75654,"{""ntp"": 1.7565370798110962}",0.00000,0.06250,1.16,1.00e-03,181363
6000,1.76604,"{""ntp"": 1.7660363912582397}",0.00000,0.05859,1.11,1.00e-03,181360
6400,1.76160,"{""ntp"": 1.7616002559661865}",0.00000,0.05469,1.10,1.00e-03,181386
6800,1.75167,"{""ntp"": 1.7516695261001587}",0.00000,0.04297,1.13,1.00e-03,181416
7200,1.74009,"{""ntp"": 1.7400932312011719}",0.00000,0.03125,1.24,1.00e-03,181433
7600,1.75758,"{""ntp"": 1.7575839757919312}",0.00000,0.04297,1.07,1.00e-03,181456
8000,1.75432,"{""ntp"": 1.7543163299560547}",0.00000,0.02734,1.15,1.00e-03,181474
8400,1.72501,"{""ntp"": 1.7250124216079712}",0.00000,0.03906,1.08,1.00e-03,181481
8800,1.74699,"{""ntp"": 1.7469892501831055}",0.00000,0.04688,1.12,1.00e-03,181501
9200,1.73353,"{""ntp"": 1.733527421951294}",0.00000,0.07031,1.22,1.00e-03,181506
9600,1.74264,"{""ntp"": 1.7426393032073975}",0.00000,0.08203,1.06,1.00e-03,181510
10000,1.74790,"{""ntp"": 1.7479032278060913}",0.00000,0.03125,1.04,1.00e-03,181516
10400,1.73140,"{""ntp"": 1.7313982248306274}",0.00000,0.03516,1.20,1.00e-03,181539
10800,1.73185,"{""ntp"": 1.7318546772003174}",0.00000,0.03125,1.05,1.00e-03,181546
11200,1.72927,"{""ntp"": 1.7292677164077759}",0.00000,0.05859,1.12,1.00e-03,181559
11600,1.71962,"{""ntp"": 1.7196171283721924}",0.00000,0.02734,1.05,1.00e-03,181574
12000,1.73613,"{""ntp"": 1.7361341714859009}",0.00000,0.08594,1.08,1.00e-03,181591
12400,1.72027,"{""ntp"": 1.7202731370925903}",0.00000,0.05078,1.04,1.00e-03,181615
12800,1.72413,"{""ntp"": 1.7241319417953491}",0.00000,0.05859,1.05,1.00e-03,181625
13200,1.71094,"{""ntp"": 1.7109382152557373}",0.00000,0.05469,1.04,1.00e-03,181638
13600,0.04626,"{""ntp"": 0.04625856131315231}",0.94922,0.98828,1.80,1.00e-03,181659
14000,0.01155,"{""ntp"": 0.011545879766345024}",0.98828,1.00000,1.87,1.00e-03,181669
14400,0.00407,"{""ntp"": 0.004069298971444368}",0.99609,1.00000,2.20,1.00e-03,181678
14800,0.00023,"{""ntp"": 0.0002288151445100084}",0.99609,1.00000,2.58,1.00e-03,181682
15200,0.01760,"{""ntp"": 0.017596667632460594}",1.00000,1.00000,2.52,1.00e-03,181691
15600,0.00001,"{""ntp"": 1.3826595932187047e-05}",0.99609,1.00000,2.38,1.00e-03,181695
