step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,5.85509,"{""ntp"": 2.105581521987915, ""fsp"": 3.749505043029785, ""fsp_r"": 2.413445472717285, ""fsp_a"": 2.672118902206421}",0.00000,0.05469,6.23,1.00e-03,82563
800,5.18251,"{""ntp"": 1.992453932762146, ""fsp"": 3.190051555633545, ""fsp_r"": 2.275740385055542, ""fsp_a"": 1.8286224603652954}",0.00000,0.04297,2.60,1.00e-03,83051
1200,4.83280,"{""ntp"": 1.8962029218673706, ""fsp"": 2.936598300933838, ""fsp_r"": 2.1994965076446533, ""fsp_a"": 1.4742038249969482}",0.00000,0.05078,1.91,1.00e-03,82957
1600,4.69075,"{""ntp"": 1.860647439956665, ""fsp"": 2.8300979137420654, ""fsp_r"": 2.1742613315582275, ""fsp_a"": 1.3116731643676758}",0.00000,0.04297,1.34,1.00e-03,82907
2000,4.59400,"{""ntp"": 1.8087111711502075, ""fsp"": 2.785290002822876, ""fsp_r"": 2.1652488708496094, ""fsp_a"": 1.2400821447372437}",0.00000,0.05078,1.32,1.00e-03,82849
2400,4.60697,"{""ntp"": 1.830987572669983, ""fsp"": 2.7759788036346436, ""fsp_r"": 2.156883478164673, ""fsp_a"": 1.2381905317306519}",0.00000,0.06250,1.28,1.00e-03,82876
2800,4.48439,"{""ntp"": 1.8012553453445435, ""fsp"": 2.683134078979492, ""fsp_r"": 2.0779058933258057, ""fsp_a"": 1.2104566097259521}",0.00000,0.03125,1.15,1.00e-03,82937
3200,4.48285,"{""ntp"": 1.7976938486099243, ""fsp"": 2.685159206390381, ""fsp_r"": 2.0739338397979736, ""fsp_a"": 1.222450852394104}",0.00000,0.03516,1.15,1.00e-03,82985
3600,4.51013,"{""ntp"": 1.8026316165924072, ""fsp"": 2.707496166229248, ""fsp_r"": 2.1024694442749023, ""fsp_a"": 1.2100536823272705}",0.00000,0.05078,1.13,1.00e-03,83027
4000,4.50911,"{""ntp"": 1.7897926568984985, ""fsp"": 2.7193171977996826, ""fsp_r"": 2.096661329269409, ""fsp_a"": 1.2453117370605469}",0.00000,0.07812,1.14,1.00e-03,83082
4400,4.44738,"{""ntp"": 1.779074788093567, ""fsp"": 2.6683053970336914, ""fsp_r"": 2.0577476024627686, ""fsp_a"": 1.2211154699325562}",0.00000,0.03906,1.21,1.00e-03,83119
4800,4.43994,"{""ntp"": 1.758362054824829, ""fsp"": 2.6815731525421143, ""fsp_r"": 2.051636219024658, ""fsp_a"": 1.2598739862442017}",0.00000,0.05469,1.16,1.00e-03,83154
5200,4.42843,"{""ntp"": 1.7505742311477661, ""fsp"": 2.677854537963867, ""fsp_r"": 2.034456968307495, ""fsp_a"": 1.286794900894165}",0.00000,0.07031,1.13,1.00e-03,83198
5600,4.51939,"{""ntp"": 1.778212547302246, ""fsp"": 2.741180896759033, ""fsp_r"": 2.05452561378479, ""fsp_a"": 1.3733106851577759}",0.00000,0.04688,1.14,1.00e-03,83233
6000,4.45236,"{""ntp"": 1.7545950412750244, ""fsp"": 2.6977696418762207, ""fsp_r"": 2.0418131351470947, ""fsp_a"": 1.3119127750396729}",0.00000,0.02344,1.16,1.00e-03,83264
6400,4.48601,"{""ntp"": 1.7712072134017944, ""fsp"": 2.7147998809814453, ""fsp_r"": 2.0448856353759766, ""fsp_a"": 1.339828610420227}",0.00000,0.03516,1.14,1.00e-03,83289
6800,4.49771,"{""ntp"": 1.7573468685150146, ""fsp"": 2.740365505218506, ""fsp_r"": 2.0358498096466064, ""fsp_a"": 1.4090311527252197}",0.00000,0.04688,2.68,1.00e-03,83310
7200,4.52140,"{""ntp"": 1.7525767087936401, ""fsp"": 2.768819808959961, ""fsp_r"": 2.0313119888305664, ""fsp_a"": 1.4750157594680786}",0.00000,0.05469,2.51,1.00e-03,83323
7600,4.53516,"{""ntp"": 1.747437834739685, ""fsp"": 2.7877197265625, ""fsp_r"": 2.040010452270508, ""fsp_a"": 1.495418667793274}",0.00000,0.03906,1.64,1.00e-03,83336
8000,4.49752,"{""ntp"": 1.7448749542236328, ""fsp"": 2.7526438236236572, ""fsp_r"": 2.0269792079925537, ""fsp_a"": 1.4513291120529175}",0.00000,0.04688,1.53,1.00e-03,83357
8400,4.53881,"{""ntp"": 1.7568367719650269, ""fsp"": 2.7819714546203613, ""fsp_r"": 2.0310544967651367, ""fsp_a"": 1.5018340349197388}",0.00000,0.06250,2.85,1.00e-03,83366
8800,4.57649,"{""ntp"": 1.7546310424804688, ""fsp"": 2.8218564987182617, ""fsp_r"": 2.0587260723114014, ""fsp_a"": 1.5262606143951416}",0.00000,0.04297,3.51,1.00e-03,83381
9200,4.54348,"{""ntp"": 1.7412556409835815, ""fsp"": 2.8022282123565674, ""fsp_r"": 2.024118661880493, ""fsp_a"": 1.5562191009521484}",0.00000,0.02344,2.05,1.00e-03,83387
9600,4.55242,"{""ntp"": 1.7415883541107178, ""fsp"": 2.8108291625976562, ""fsp_r"": 2.018563985824585, ""fsp_a"": 1.5845305919647217}",0.00000,0.04688,2.11,1.00e-03,83387
10000,4.57034,"{""ntp"": 1.7353553771972656, ""fsp"": 2.8349809646606445, ""fsp_r"": 2.02286434173584, ""fsp_a"": 1.624233365058899}",0.00000,0.05859,1.99,1.00e-03,83407
10400,4.50510,"{""ntp"": 1.710835337638855, ""fsp"": 2.794260263442993, ""fsp_r"": 2.0082614421844482, ""fsp_a"": 1.5719977617263794}",0.00000,0.05469,1.99,1.00e-03,83419
10800,4.53391,"{""ntp"": 1.7255793809890747, ""fsp"": 2.80833101272583, ""fsp_r"": 2.007512092590332, ""fsp_a"": 1.601637601852417}",0.00000,0.06250,2.06,1.00e-03,83438
