step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,3.41969,"{""ntp"": 2.127399206161499, ""mtp"": 1.292293906211853}",0.00000,0.04297,14.64,1.00e-03,110132
800,3.14129,"{""ntp"": 2.007739543914795, ""mtp"": 1.1335546970367432}",0.00000,0.05469,6.17,1.00e-03,111889
1200,3.04706,"{""ntp"": 1.9491544961929321, ""mtp"": 1.0979098081588745}",0.00000,0.03906,6.19,1.00e-03,113314
1600,1.51239,"{""ntp"": 0.4260402321815491, ""mtp"": 1.0863512754440308}",0.17188,0.17188,24.64,1.00e-03,112946
2000,1.24386,"{""ntp"": 0.36876147985458374, ""mtp"": 0.875101625919342}",0.21484,0.21484,5.21,1.00e-03,113212
2400,1.14067,"{""ntp"": 0.3630788326263428, ""mtp"": 0.7775881290435791}",0.16016,0.16016,3.47,1.00e-03,113712
2800,1.07464,"{""ntp"": 0.32646599411964417, ""mtp"": 0.7481695413589478}",0.23047,0.23047,2.26,1.00e-03,114050
3200,0.90924,"{""ntp"": 0.2703785002231598, ""mtp"": 0.6388622522354126}",0.21875,0.21875,1.89,1.00e-03,114275
3600,0.84175,"{""ntp"": 0.2649941146373749, ""mtp"": 0.5767579078674316}",0.25391,0.25391,1.86,1.00e-03,114457
4000,0.60305,"{""ntp"": 0.13248591125011444, ""mtp"": 0.47055914998054504}",0.59766,0.59766,4.32,1.00e-03,114601
4400,0.57754,"{""ntp"": 0.11953036487102509, ""mtp"": 0.4580087661743164}",0.63281,0.63281,4.03,1.00e-03,114761
4800,0.50116,"{""ntp"": 0.07479340583086014, ""mtp"": 0.42636623978614807}",0.82031,0.82031,3.91,1.00e-03,114371
5200,0.46443,"{""ntp"": 0.05874640494585037, ""mtp"": 0.40568676590919495}",0.82812,0.82812,4.09,1.00e-03,114268
5600,0.47970,"{""ntp"": 0.07948030531406403, ""mtp"": 0.4002191126346588}",0.85547,0.85547,3.51,1.00e-03,114391
6000,0.43242,"{""ntp"": 0.049577079713344574, ""mtp"": 0.38284021615982056}",0.84766,0.84766,3.43,1.00e-03,114460
6400,0.42151,"{""ntp"": 0.0591462068259716, ""mtp"": 0.36236873269081116}",0.84766,0.84766,3.56,1.00e-03,114169
6800,0.40654,"{""ntp"": 0.04052583500742912, ""mtp"": 0.36601412296295166}",0.83203,0.83203,4.20,1.00e-03,113820
