step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,2.14910,"{""ntp"": 2.1491026878356934}",0.00000,0.05859,10.10,1.00e-03,165915
800,1.99040,"{""ntp"": 1.9903967380523682}",0.00000,0.03906,5.59,1.00e-03,167738
1200,1.89996,"{""ntp"": 1.8999611139297485}",0.00000,0.05078,4.38,1.00e-03,168212
1600,1.86268,"{""ntp"": 1.862680435180664}",0.00000,0.05859,1.87,1.00e-03,168104
2000,0.63116,"{""ntp"": 0.6311615109443665}",0.10547,0.11719,1.78,1.00e-03,168178
2400,0.42163,"{""ntp"": 0.4216344654560089}",0.18750,0.19141,35.32,1.00e-03,168027
2800,0.36763,"{""ntp"": 0.3676283359527588}",0.21094,0.21094,31.15,1.00e-03,168024
3200,0.34875,"{""ntp"": 0.3487450182437897}",0.17188,0.17188,31.41,1.00e-03,167986
3600,0.31111,"{""ntp"": 0.311106413602829}",0.18359,0.18359,27.11,1.00e-03,167961
4000,0.31346,"{""ntp"": 0.3134584426879883}",0.22656,0.22656,12.52,1.00e-03,167893
4400,0.28287,"{""ntp"": 0.2828727066516876}",0.19531,0.19531,8.15,1.00e-03,167916
4800,0.29125,"{""ntp"": 0.2912455201148987}",0.21875,0.21875,10.43,1.00e-03,167867
5200,0.27120,"{""ntp"": 0.2711992561817169}",0.20312,0.20312,7.56,1.00e-03,167890
5600,0.29322,"{""ntp"": 0.29322385787963867}",0.19922,0.19922,4.91,1.00e-03,167846
6000,0.26561,"{""ntp"": 0.26560544967651367}",0.20312,0.20312,4.43,1.00e-03,167854
6400,0.24873,"{""ntp"": 0.24873259663581848}",0.18359,0.18359,4.29,1.00e-03,167851
6800,0.28021,"{""ntp"": 0.2802117168903351}",0.21875,0.21875,3.56,1.00e-03,167870
7200,0.26572,"{""ntp"": 0.2657155990600586}",0.23047,0.23047,3.04,1.00e-03,167859
7600,0.24334,"{""ntp"": 0.24334116280078888}",0.20312,0.20312,3.49,1.00e-03,167870
8000,0.26008,"{""ntp"": 0.2600763440132141}",0.16406,0.16406,3.17,1.00e-03,167868
8400,0.25261,"{""ntp"": 0.2526090741157532}",0.21875,0.21875,2.31,1.00e-03,167933
8800,0.26692,"{""ntp"": 0.266924649477005}",0.21484,0.21484,1.76,1.00e-03,167896
9200,0.24886,"{""ntp"": 0.24886222183704376}",0.21484,0.21484,3.06,1.00e-03,167886
9600,0.25551,"{""ntp"": 0.25550565123558044}",0.15625,0.15625,2.82,1.00e-03,167859
10000,0.25166,"{""ntp"": 0.25165918469429016}",0.25781,0.25781,2.97,1.00e-03,167863
10400,0.24953,"{""ntp"": 0.24952872097492218}",0.19922,0.19922,2.21,1.00e-03,167833
10800,0.26022,"{""ntp"": 0.2602175176143646}",0.21094,0.21094,1.93,1.00e-03,167842
11200,0.24037,"{""ntp"": 0.2403702735900879}",0.19922,0.19922,1.66,1.00e-03,167811
11600,0.24318,"{""ntp"": 0.24318170547485352}",0.23828,0.23828,1.84,1.00e-03,167826
12000,0.25419,"{""ntp"": 0.2541918158531189}",0.24219,0.24219,1.79,1.00e-03,167830
12400,0.26042,"{""ntp"": 0.260422021150589}",0.21875,0.21875,1.63,1.00e-03,167836
12800,0.24992,"{""ntp"": 0.24992311000823975}",0.19922,0.19922,1.66,1.00e-03,167821
13200,0.24542,"{""ntp"": 0.24542474746704102}",0.19531,0.19531,1.47,1.00e-03,167847
13600,0.23864,"{""ntp"": 0.2386416345834732}",0.19922,0.19922,1.70,1.00e-03,167843
14000,0.25325,"{""ntp"": 0.25325337052345276}",0.18750,0.18750,1.72,1.00e-03,167853
14400,0.24860,"{""ntp"": 0.24859796464443207}",0.16406,0.16406,2.04,1.00e-03,167841
14800,0.24621,"{""ntp"": 0.2462063878774643}",0.19141,0.19141,1.68,1.00e-03,167854
15200,0.24649,"{""ntp"": 0.24649278819561005}",0.19141,0.19141,1.78,1.00e-03,167843
15600,0.24340,"{""ntp"": 0.24339839816093445}",0.21094,0.21094,2.26,1.00e-03,167841
16000,0.25090,"{""ntp"": 0.25090381503105164}",0.23438,0.23438,1.89,1.00e-03,167833
16400,0.25017,"{""ntp"": 0.25017422437667847}",0.15625,0.15625,1.69,1.00e-03,167853
16800,0.24171,"{""ntp"": 0.2417113482952118}",0.21875,0.21875,1.53,1.00e-03,167855
17200,0.23925,"{""ntp"": 0.23925112187862396}",0.19141,0.19141,1.91,1.00e-03,167871
17600,0.25355,"{""ntp"": 0.2535512447357178}",0.18750,0.18750,1.53,1.00e-03,167868
18000,0.23996,"{""ntp"": 0.23996157944202423}",0.17969,0.17969,1.82,1.00e-03,167890
18400,0.23981,"{""ntp"": 0.2398146390914917}",0.20703,0.20703,1.70,1.00e-03,167894
18800,0.23733,"{""ntp"": 0.23733492195606232}",0.22266,0.22266,2.28,1.00e-03,167919
19200,0.28370,"{""ntp"": 0.2836970388889313}",0.23047,0.23047,2.37,1.00e-03,167918
19600,0.24005,"{""ntp"": 0.24004502594470978}",0.17969,0.17969,2.23,1.00e-03,167931
20000,0.24191,"{""ntp"": 0.2419121116399765}",0.18750,0.18750,2.13,1.00e-03,167940
20400,0.23861,"{""ntp"": 0.23861248791217804}",0.18750,0.18750,1.72,1.00e-03,167935
20800,0.24625,"{""ntp"": 0.2462531179189682}",0.25000,0.25000,2.40,1.00e-03,167950
21200,0.23973,"{""ntp"": 0.2397264987230301}",0.20703,0.20703,2.03,1.00e-03,167942
21600,0.24982,"{""ntp"": 0.24982282519340515}",0.19141,0.19141,1.75,1.00e-03,167944
22000,0.24555,"{""ntp"": 0.24554766714572906}",0.19922,0.19922,1.95,1.00e-03,167952
22400,0.24695,"{""ntp"": 0.24695055186748505}",0.22266,0.22266,1.68,1.00e-03,167966
22800,0.23977,"{""ntp"": 0.23976847529411316}",0.21484,0.21484,1.50,1.00e-03,167957
23200,0.24306,"{""ntp"": 0.24306075274944305}",0.23047,0.23047,1.41,1.00e-03,167974
23600,0.24918,"{""ntp"": 0.24917936325073242}",0.17188,0.17188,1.86,1.00e-03,167980
24000,0.24036,"{""ntp"": 0.24035510420799255}",0.23047,0.23047,1.60,1.00e-03,167996
24400,0.24204,"{""ntp"": 0.2420409768819809}",0.19922,0.19922,1.75,1.00e-03,167988
24800,0.24264,"{""ntp"": 0.24264219403266907}",0.17969,0.17969,1.47,1.00e-03,167993
25200,0.23438,"{""ntp"": 0.23437607288360596}",0.20703,0.20703,1.61,1.00e-03,167984
25600,0.24574,"{""ntp"": 0.24574314057826996}",0.20312,0.20312,1.88,1.00e-03,167997
26000,0.24226,"{""ntp"": 0.2422621250152588}",0.24219,0.24219,1.75,1.00e-03,167994
26400,0.24685,"{""ntp"": 0.2468518167734146}",0.19141,0.19141,1.77,1.00e-03,167994
26800,0.24023,"{""ntp"": 0.24023018777370453}",0.15625,0.15625,1.70,1.00e-03,167994
27200,0.24896,"{""ntp"": 0.24896159768104553}",0.19141,0.19141,1.73,1.00e-03,167994
27600,0.24509,"{""ntp"": 0.24508807063102722}",0.17578,0.17578,1.40,1.00e-03,167991
28000,0.23882,"{""ntp"": 0.23882079124450684}",0.20312,0.20312,1.45,1.00e-03,168016
28400,0.24532,"{""ntp"": 0.2453174889087677}",0.17969,0.17969,1.45,1.00e-03,168013
28800,0.23797,"{""ntp"": 0.23797133564949036}",0.17578,0.17578,1.44,1.00e-03,168021
29200,0.24283,"{""ntp"": 0.24282656610012054}",0.22656,0.22656,1.40,1.00e-03,168017
29600,0.24382,"{""ntp"": 0.24382151663303375}",0.18359,0.18359,1.67,1.00e-03,168016
30000,0.23388,"{""ntp"": 0.23388396203517914}",0.18750,0.18750,1.60,1.00e-03,168018
30400,0.24667,"{""ntp"": 0.2466716766357422}",0.19922,0.19922,1.36,1.00e-03,168027
30800,0.23860,"{""ntp"": 0.23859640955924988}",0.15234,0.15234,1.57,1.00e-03,168018
31200,0.24016,"{""ntp"": 0.24015937745571136}",0.21875,0.21875,1.53,1.00e-03,168021
31600,0.23700,"{""ntp"": 0.2369956076145172}",0.18750,0.18750,1.43,1.00e-03,168018
32000,0.24340,"{""ntp"": 0.24340203404426575}",0.13672,0.13672,1.43,1.00e-03,168018
32400,0.24733,"{""ntp"": 0.24732865393161774}",0.16406,0.16406,1.53,1.00e-03,168015
32800,0.24018,"{""ntp"": 0.24018296599388123}",0.21875,0.21875,1.33,1.00e-03,168022
33200,0.24270,"{""ntp"": 0.24270415306091309}",0.15625,0.15625,1.44,1.00e-03,168022
33600,0.23974,"{""ntp"": 0.23973508179187775}",0.18359,0.18359,1.38,1.00e-03,168032
34000,0.24221,"{""ntp"": 0.2422146052122116}",0.17188,0.17188,1.41,1.00e-03,168029
34400,0.24399,"{""ntp"": 0.24398626387119293}",0.21094,0.21094,1.37,1.00e-03,168032
34800,0.24030,"{""ntp"": 0.24029798805713654}",0.21094,0.21094,1.52,1.00e-03,168026
35200,0.23720,"{""ntp"": 0.2372014820575714}",0.15625,0.15625,1.42,1.00e-03,168028
35600,0.24191,"{""ntp"": 0.24191464483737946}",0.23438,0.23438,1.40,1.00e-03,168022
36000,0.24552,"{""ntp"": 0.24551545083522797}",0.20312,0.20312,1.32,1.00e-03,168029
36400,0.23521,"{""ntp"": 0.23520568013191223}",0.23438,0.23438,1.35,1.00e-03,168021
36800,0.24469,"{""ntp"": 0.24468548595905304}",0.18359,0.18359,1.32,1.00e-03,168027
37200,0.24226,"{""ntp"": 0.24226248264312744}",0.20703,0.20703,1.39,1.00e-03,168019
37600,0.24294,"{""ntp"": 0.2429419904947281}",0.19141,0.19141,1.25,1.00e-03,168019
38000,0.23763,"{""ntp"": 0.23763450980186462}",0.20703,0.20703,1.28,1.00e-03,168014
38400,0.24066,"{""ntp"": 0.24066008627414703}",0.17578,0.17578,1.35,1.00e-03,168020
38800,0.23734,"{""ntp"": 0.23734399676322937}",0.21094,0.21094,1.44,1.00e-03,168022
39200,0.25060,"{""ntp"": 0.2505970299243927}",0.18750,0.18750,1.44,1.00e-03,168026
39600,0.23251,"{""ntp"": 0.23251278698444366}",0.25391,0.25391,1.36,1.00e-03,168023
40000,0.25048,"{""ntp"": 0.25048238039016724}",0.21484,0.21484,1.42,1.00e-03,168026
40400,0.24615,"{""ntp"": 0.24614547193050385}",0.18359,0.18359,1.44,1.00e-03,168028
40800,0.24551,"{""ntp"": 0.24551372230052948}",0.17969,0.17969,1.46,1.00e-03,168028
41200,0.24264,"{""ntp"": 0.24264158308506012}",0.16016,0.16016,1.43,1.00e-03,168024
41600,0.24148,"{""ntp"": 0.24148456752300262}",0.19922,0.19922,1.46,1.00e-03,168025
42000,0.24951,"{""ntp"": 0.24950602650642395}",0.16406,0.16406,1.40,1.00e-03,168022
42400,0.26411,"{""ntp"": 0.2641124427318573}",0.17969,0.17969,1.47,1.00e-03,168023
42800,0.23996,"{""ntp"": 0.23996010422706604}",0.22266,0.22266,1.44,1.00e-03,168022
43200,0.24409,"{""ntp"": 0.2440934032201767}",0.13672,0.13672,1.58,1.00e-03,168028
43600,0.23661,"{""ntp"": 0.23660556972026825}",0.20312,0.20312,1.48,1.00e-03,168019
44000,0.23423,"{""ntp"": 0.23423363268375397}",0.23047,0.23047,1.48,1.00e-03,168022
44400,0.24545,"{""ntp"": 0.24545100331306458}",0.21875,0.21875,1.40,1.00e-03,168019
44800,0.24673,"{""ntp"": 0.24672852456569672}",0.21484,0.21484,1.41,1.00e-03,168017
45200,0.24230,"{""ntp"": 0.24229943752288818}",0.17969,0.17969,1.36,1.00e-03,168015
45600,0.24194,"{""ntp"": 0.24194417893886566}",0.15625,0.15625,1.46,1.00e-03,168018
46000,0.24411,"{""ntp"": 0.244113951921463}",0.17969,0.17969,1.44,1.00e-03,168012
46400,0.24201,"{""ntp"": 0.24201467633247375}",0.16406,0.16406,1.45,1.00e-03,168012
46800,0.24738,"{""ntp"": 0.2473820596933365}",0.19922,0.19922,1.37,1.00e-03,168007
47200,0.23449,"{""ntp"": 0.23448814451694489}",0.16797,0.16797,1.48,1.00e-03,168005
47600,0.23931,"{""ntp"": 0.23930580914020538}",0.20703,0.20703,1.40,1.00e-03,167997
48000,0.23927,"{""ntp"": 0.23927025496959686}",0.17969,0.17969,1.45,1.00e-03,168003
