step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,2.12378,"{""ntp"": 2.123778820037842}",0.00000,0.04297,14.24,1.00e-03,271777
800,1.92767,"{""ntp"": 1.9276665449142456}",0.00000,0.04688,30.39,1.00e-03,275020
1200,1.86686,"{""ntp"": 1.8668556213378906}",0.00000,0.03516,36.46,1.00e-03,271783
1600,1.82159,"{""ntp"": 1.8215934038162231}",0.00000,0.06250,38.95,1.00e-03,272760
2000,1.80802,"{""ntp"": 1.8080215454101562}",0.00000,0.05859,36.36,1.00e-03,281281
2400,1.76835,"{""ntp"": 1.7683544158935547}",0.00000,0.02734,40.82,1.00e-03,287505
2800,1.78080,"{""ntp"": 1.7808034420013428}",0.00000,0.07422,37.45,1.00e-03,289820
3200,1.77996,"{""ntp"": 1.7799644470214844}",0.00000,0.04688,39.94,1.00e-03,288197
3600,1.78144,"{""ntp"": 1.781442403793335}",0.00000,0.05078,36.44,1.00e-03,286581
4000,1.77671,"{""ntp"": 1.7767136096954346}",0.00000,0.05078,36.98,1.00e-03,285541
4400,1.77204,"{""ntp"": 1.772035002708435}",0.00000,0.06641,35.85,1.00e-03,284941
4800,1.78413,"{""ntp"": 1.7841300964355469}",0.00000,0.04688,32.84,1.00e-03,283151
5200,1.75951,"{""ntp"": 1.7595148086547852}",0.00000,0.07031,32.15,1.00e-03,282626
5600,1.78435,"{""ntp"": 1.7843486070632935}",0.00000,0.07812,30.45,1.00e-03,281271
6000,1.76694,"{""ntp"": 1.7669419050216675}",0.00000,0.04297,31.66,1.00e-03,280635
6400,1.74821,"{""ntp"": 1.7482070922851562}",0.00000,0.07422,31.65,1.00e-03,280536
6800,1.74593,"{""ntp"": 1.745928406715393}",0.00000,0.06250,29.75,1.00e-03,280475
7200,1.75444,"{""ntp"": 1.7544373273849487}",0.00000,0.02734,33.08,1.00e-03,280100
7600,1.75957,"{""ntp"": 1.7595748901367188}",0.00000,0.05078,32.48,1.00e-03,280282
8000,1.75179,"{""ntp"": 1.751787781715393}",0.00000,0.05469,33.71,1.00e-03,279085
8400,1.73184,"{""ntp"": 1.731842041015625}",0.00000,0.05469,32.17,1.00e-03,277152
8800,1.73960,"{""ntp"": 1.739603042602539}",0.00000,0.04688,30.92,1.00e-03,277213
9200,1.74123,"{""ntp"": 1.7412303686141968}",0.00000,0.02734,30.37,1.00e-03,277275
9600,1.73306,"{""ntp"": 1.7330589294433594}",0.00000,0.05469,29.93,1.00e-03,277273
10000,1.75968,"{""ntp"": 1.75968337059021}",0.00000,0.05469,31.63,1.00e-03,277343
10400,1.73078,"{""ntp"": 1.7307813167572021}",0.00000,0.05078,31.87,1.00e-03,277389
10800,1.74176,"{""ntp"": 1.7417608499526978}",0.00000,0.07812,28.29,1.00e-03,277121
11200,1.72291,"{""ntp"": 1.7229137420654297}",0.00000,0.05078,25.46,1.00e-03,277019
11600,1.73276,"{""ntp"": 1.7327611446380615}",0.00000,0.04688,27.89,1.00e-03,277167
12000,1.73911,"{""ntp"": 1.7391092777252197}",0.00000,0.01562,27.67,1.00e-03,277191
12400,1.72076,"{""ntp"": 1.7207610607147217}",0.00000,0.03906,27.36,1.00e-03,276960
12800,1.72668,"{""ntp"": 1.7266794443130493}",0.00000,0.06250,23.45,1.00e-03,277196
13200,1.70746,"{""ntp"": 1.7074625492095947}",0.00000,0.05469,23.77,1.00e-03,277055
13600,1.72764,"{""ntp"": 1.7276391983032227}",0.00000,0.03125,22.59,1.00e-03,276925
14000,1.73059,"{""ntp"": 1.7305867671966553}",0.00000,0.03906,26.79,1.00e-03,276632
14400,1.71219,"{""ntp"": 1.7121928930282593}",0.00000,0.07422,25.50,1.00e-03,276444
14800,1.73839,"{""ntp"": 1.738394856452942}",0.00000,0.04688,23.38,1.00e-03,276424
15200,1.73735,"{""ntp"": 1.737350583076477}",0.00000,0.05078,25.30,1.00e-03,276190
15600,1.71762,"{""ntp"": 1.717619776725769}",0.00000,0.05078,23.92,1.00e-03,276558
16000,1.71187,"{""ntp"": 1.7118723392486572}",0.00000,0.03906,22.06,1.00e-03,276203
16400,1.72368,"{""ntp"": 1.7236777544021606}",0.00000,0.07422,20.10,1.00e-03,276148
16800,1.71883,"{""ntp"": 1.7188293933868408}",0.00000,0.05469,22.57,1.00e-03,275806
17200,1.72291,"{""ntp"": 1.7229135036468506}",0.00000,0.02734,21.66,1.00e-03,275689
17600,1.71655,"{""ntp"": 1.716553807258606}",0.00000,0.08594,23.42,1.00e-03,275716
18000,1.72462,"{""ntp"": 1.7246195077896118}",0.00000,0.05078,23.41,1.00e-03,275482
18400,1.72345,"{""ntp"": 1.723451852798462}",0.00000,0.03906,20.58,1.00e-03,275183
18800,1.71839,"{""ntp"": 1.718392252922058}",0.00000,0.03125,21.03,1.00e-03,275045
19200,1.71957,"{""ntp"": 1.7195674180984497}",0.00000,0.04688,22.59,1.00e-03,274866
19600,1.72511,"{""ntp"": 1.7251098155975342}",0.00000,0.05859,19.38,1.00e-03,274623
20000,1.71124,"{""ntp"": 1.7112382650375366}",0.00000,0.05078,21.03,1.00e-03,274445
20400,1.72129,"{""ntp"": 1.7212889194488525}",0.00000,0.04297,19.65,1.00e-03,274310
20800,1.71663,"{""ntp"": 1.716629981994629}",0.00000,0.04297,17.86,1.00e-03,274258
21200,1.71884,"{""ntp"": 1.718841552734375}",0.00000,0.04297,18.07,1.00e-03,274347
21600,1.71332,"{""ntp"": 1.713321328163147}",0.00000,0.04297,18.38,1.00e-03,274443
22000,1.70557,"{""ntp"": 1.7055729627609253}",0.00000,0.05859,19.94,1.00e-03,274513
22400,1.26104,"{""ntp"": 1.2610399723052979}",0.01953,0.10547,31.45,1.00e-03,274702
22800,0.40316,"{""ntp"": 0.40316271781921387}",0.14453,0.14453,31.09,1.00e-03,274852
23200,0.36021,"{""ntp"": 0.3602140247821808}",0.20703,0.20703,31.59,1.00e-03,274699
23600,0.35369,"{""ntp"": 0.35368531942367554}",0.24609,0.24609,33.76,1.00e-03,274800
24000,0.33681,"{""ntp"": 0.3368074595928192}",0.18359,0.18359,32.19,1.00e-03,274864
24400,0.31135,"{""ntp"": 0.31134992837905884}",0.20703,0.20703,32.37,1.00e-03,274909
24800,0.30363,"{""ntp"": 0.3036292493343353}",0.23438,0.23438,33.26,1.00e-03,275061
25200,0.29476,"{""ntp"": 0.294757217168808}",0.23438,0.23438,31.63,1.00e-03,275177
25600,0.27170,"{""ntp"": 0.27169960737228394}",0.25000,0.25000,32.78,1.00e-03,275346
26000,0.27827,"{""ntp"": 0.27826884388923645}",0.23438,0.23438,30.32,1.00e-03,275225
26400,0.26722,"{""ntp"": 0.26721832156181335}",0.19531,0.19531,29.30,1.00e-03,275685
26800,0.28809,"{""ntp"": 0.288085013628006}",0.21094,0.21094,27.58,1.00e-03,275636
27200,0.26365,"{""ntp"": 0.2636503577232361}",0.21094,0.21094,27.64,1.00e-03,275611
27600,0.26976,"{""ntp"": 0.2697618901729584}",0.22266,0.22266,26.60,1.00e-03,275691
28000,0.26102,"{""ntp"": 0.26102280616760254}",0.19922,0.19922,26.66,1.00e-03,275761
28400,0.26330,"{""ntp"": 0.26329752802848816}",0.22266,0.22266,25.60,1.00e-03,275819
28800,0.26714,"{""ntp"": 0.2671356499195099}",0.19141,0.19141,25.45,1.00e-03,275841
29200,0.25265,"{""ntp"": 0.252653032541275}",0.19922,0.19922,23.81,1.00e-03,275723
29600,0.26652,"{""ntp"": 0.2665182650089264}",0.21875,0.21875,22.63,1.00e-03,275604
30000,0.24730,"{""ntp"": 0.2473042756319046}",0.19531,0.19531,23.03,1.00e-03,275649
30400,0.26551,"{""ntp"": 0.2655072808265686}",0.23438,0.23438,23.70,1.00e-03,275709
30800,0.25945,"{""ntp"": 0.2594549059867859}",0.18750,0.18750,22.49,1.00e-03,275619
31200,0.25220,"{""ntp"": 0.2521952688694}",0.17578,0.17578,21.88,1.00e-03,275506
31600,0.25354,"{""ntp"": 0.2535399794578552}",0.21484,0.21484,22.92,1.00e-03,275436
32000,0.24419,"{""ntp"": 0.24419300258159637}",0.21484,0.21484,22.40,1.00e-03,275364
32400,0.25183,"{""ntp"": 0.2518270015716553}",0.21484,0.21484,21.03,1.00e-03,275295
32800,0.24486,"{""ntp"": 0.24486097693443298}",0.21094,0.21484,20.28,1.00e-03,275370
33200,0.24504,"{""ntp"": 0.24504098296165466}",0.19141,0.19141,20.28,1.00e-03,275382
33600,0.24492,"{""ntp"": 0.2449178844690323}",0.19922,0.19922,22.12,1.00e-03,275453
34000,0.24849,"{""ntp"": 0.24848581850528717}",0.18359,0.18359,20.55,1.00e-03,275479
34400,0.24634,"{""ntp"": 0.2463420331478119}",0.17578,0.17578,22.43,1.00e-03,275387
34800,0.24624,"{""ntp"": 0.24623744189739227}",0.21875,0.21875,20.54,1.00e-03,275359
35200,0.24952,"{""ntp"": 0.24951516091823578}",0.19922,0.19922,21.81,1.00e-03,275269
35600,0.24714,"{""ntp"": 0.24713969230651855}",0.23438,0.23438,20.91,1.00e-03,275059
