step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,2.10631,"{""ntp"": 2.1063055992126465}",0.00000,0.04688,5.29,1.00e-03,84837
800,1.97495,"{""ntp"": 1.9749499559402466}",0.00000,0.03906,2.55,1.00e-03,85613
1200,1.89915,"{""ntp"": 1.899149775505066}",0.00000,0.05859,1.87,1.00e-03,85676
1600,1.84681,"{""ntp"": 1.8468142747879028}",0.00000,0.05859,1.22,1.00e-03,85849
2000,1.82329,"{""ntp"": 1.8232927322387695}",0.00000,0.04688,1.33,1.00e-03,85920
2400,1.82945,"{""ntp"": 1.8294481039047241}",0.00000,0.04688,1.18,1.00e-03,85980
2800,1.80137,"{""ntp"": 1.80137038230896}",0.00000,0.04688,1.18,1.00e-03,85914
3200,1.80287,"{""ntp"": 1.80286705493927}",0.00000,0.04297,1.29,1.00e-03,85975
3600,1.78817,"{""ntp"": 1.7881675958633423}",0.00000,0.05859,1.17,1.00e-03,85974
4000,1.78108,"{""ntp"": 1.781076192855835}",0.00000,0.05078,1.19,1.00e-03,85953
4400,1.77429,"{""ntp"": 1.774290680885315}",0.00000,0.05078,1.26,1.00e-03,85987
4800,1.76074,"{""ntp"": 1.7607390880584717}",0.00000,0.06250,1.24,1.00e-03,85969
5200,1.75110,"{""ntp"": 1.7511043548583984}",0.00000,0.04297,1.16,1.00e-03,85959
5600,1.77812,"{""ntp"": 1.7781153917312622}",0.00000,0.03516,1.26,1.00e-03,85972
6000,1.75776,"{""ntp"": 1.7577584981918335}",0.00000,0.05469,1.25,1.00e-03,85955
6400,1.74437,"{""ntp"": 1.7443714141845703}",0.00000,0.04297,1.30,1.00e-03,85978
6800,1.74863,"{""ntp"": 1.7486250400543213}",0.00000,0.05078,1.39,1.00e-03,85971
7200,1.75273,"{""ntp"": 1.7527291774749756}",0.00000,0.05859,1.23,1.00e-03,85968
7600,1.73536,"{""ntp"": 1.7353620529174805}",0.00000,0.03906,1.26,1.00e-03,85973
8000,1.74512,"{""ntp"": 1.7451163530349731}",0.00000,0.05078,1.17,1.00e-03,85969
8400,1.74850,"{""ntp"": 1.7484970092773438}",0.00000,0.05469,1.21,1.00e-03,86000
8800,1.74777,"{""ntp"": 1.7477712631225586}",0.00000,0.04297,1.26,1.00e-03,86004
9200,1.73479,"{""ntp"": 1.7347888946533203}",0.00000,0.04688,1.23,1.00e-03,85995
9600,1.74692,"{""ntp"": 1.746919870376587}",0.00000,0.05859,1.22,1.00e-03,86016
10000,1.74459,"{""ntp"": 1.7445948123931885}",0.00000,0.05078,1.21,1.00e-03,86026
10400,1.71571,"{""ntp"": 1.7157129049301147}",0.00000,0.05078,1.22,1.00e-03,86019
10800,1.73327,"{""ntp"": 1.7332736253738403}",0.00000,0.05078,1.14,1.00e-03,86029
11200,1.71695,"{""ntp"": 1.7169526815414429}",0.00000,0.06641,1.17,1.00e-03,86045
11600,1.73668,"{""ntp"": 1.7366758584976196}",0.00000,0.07031,1.13,1.00e-03,86041
12000,1.71841,"{""ntp"": 1.7184070348739624}",0.00000,0.06641,1.18,1.00e-03,86052
12400,1.71769,"{""ntp"": 1.7176916599273682}",0.00000,0.04688,1.14,1.00e-03,86065
12800,1.71786,"{""ntp"": 1.717856764793396}",0.00000,0.06250,1.28,1.00e-03,86074
13200,1.72710,"{""ntp"": 1.7270959615707397}",0.00000,0.03125,1.18,1.00e-03,86066
13600,1.74107,"{""ntp"": 1.7410672903060913}",0.00000,0.05859,1.18,1.00e-03,86062
14000,1.71502,"{""ntp"": 1.715017318725586}",0.00000,0.05469,1.17,1.00e-03,86063
14400,1.72740,"{""ntp"": 1.7274000644683838}",0.00000,0.03906,1.33,1.00e-03,86057
14800,1.71839,"{""ntp"": 1.718389868736267}",0.00000,0.04688,1.23,1.00e-03,86070
15200,1.71218,"{""ntp"": 1.7121813297271729}",0.00000,0.03906,1.25,1.00e-03,86078
15600,1.71058,"{""ntp"": 1.7105838060379028}",0.00000,0.05859,1.32,1.00e-03,86074
16000,1.70533,"{""ntp"": 1.7053323984146118}",0.00000,0.02344,1.29,1.00e-03,86073
16400,1.73756,"{""ntp"": 1.7375613451004028}",0.00000,0.01562,1.28,1.00e-03,86082
16800,1.72541,"{""ntp"": 1.7254142761230469}",0.00000,0.04688,1.19,1.00e-03,86078
17200,1.72488,"{""ntp"": 1.7248799800872803}",0.00000,0.04688,1.21,1.00e-03,86083
17600,1.71965,"{""ntp"": 1.7196451425552368}",0.00000,0.05859,1.18,1.00e-03,86080
18000,1.70875,"{""ntp"": 1.7087538242340088}",0.00000,0.05078,1.20,1.00e-03,86074
18400,1.71879,"{""ntp"": 1.7187937498092651}",0.00000,0.05469,1.19,1.00e-03,86084
18800,1.70842,"{""ntp"": 1.7084176540374756}",0.00000,0.04297,1.21,1.00e-03,86096
19200,1.70583,"{""ntp"": 1.7058342695236206}",0.00000,0.08203,1.24,1.00e-03,86107
19600,1.72034,"{""ntp"": 1.720338225364685}",0.00000,0.04297,1.25,1.00e-03,86101
20000,1.70443,"{""ntp"": 1.704426884651184}",0.00000,0.05078,1.17,1.00e-03,86099
