step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,3.12019,"{""ntp"": 1.353344440460205, ""jepa_pooled"": 1.7668465375900269}",0.00000,0.01172,66.39,1.00e-03,337284
400,2.09709,"{""ntp"": 0.984853982925415, ""jepa_pooled"": 1.1122355461120605}",0.00000,0.00391,77.79,9.94e-04,342408
600,1.51922,"{""ntp"": 0.704481840133667, ""jepa_pooled"": 0.8147403597831726}",0.00000,0.31250,87.36,9.76e-04,344513
800,1.02563,"{""ntp"": 0.31926289200782776, ""jepa_pooled"": 0.7063696384429932}",0.00781,0.42969,87.89,9.46e-04,347832
1000,0.90289,"{""ntp"": 0.27279555797576904, ""jepa_pooled"": 0.6300930976867676}",0.05469,0.46094,92.75,9.05e-04,352053
1200,0.81628,"{""ntp"": 0.24956752359867096, ""jepa_pooled"": 0.5667099952697754}",0.05469,0.51172,92.77,8.55e-04,352131
1400,0.75829,"{""ntp"": 0.21435517072677612, ""jepa_pooled"": 0.5439333915710449}",0.08203,0.46094,92.16,7.96e-04,352221
1600,0.68381,"{""ntp"": 0.1659364551305771, ""jepa_pooled"": 0.5178698301315308}",0.09766,0.47266,94.72,7.31e-04,352200
1800,0.65719,"{""ntp"": 0.14794445037841797, ""jepa_pooled"": 0.5092447996139526}",0.14844,0.55078,95.29,6.60e-04,352191
2000,0.64130,"{""ntp"": 0.14625981450080872, ""jepa_pooled"": 0.4950357973575592}",0.16016,0.53516,91.82,5.87e-04,352183
2200,0.60705,"{""ntp"": 0.11765184253454208, ""jepa_pooled"": 0.48939475417137146}",0.20312,0.56641,91.08,5.13e-04,352172
2400,0.56716,"{""ntp"": 0.10265179723501205, ""jepa_pooled"": 0.4645107388496399}",0.21875,0.53906,90.20,4.40e-04,352188
2600,0.55630,"{""ntp"": 0.09904474765062332, ""jepa_pooled"": 0.45725375413894653}",0.25391,0.55859,87.42,3.69e-04,352211
2800,0.52980,"{""ntp"": 0.08130767196416855, ""jepa_pooled"": 0.4484967589378357}",0.27344,0.59375,85.66,3.04e-04,352213
3000,0.52776,"{""ntp"": 0.07328347116708755, ""jepa_pooled"": 0.45448005199432373}",0.30859,0.60938,85.19,2.45e-04,352218
3200,0.54622,"{""ntp"": 0.08889342844486237, ""jepa_pooled"": 0.4573275148868561}",0.27344,0.60938,83.84,1.95e-04,352213
3400,0.51584,"{""ntp"": 0.07059559226036072, ""jepa_pooled"": 0.4452449679374695}",0.29297,0.61719,81.50,1.54e-04,352225
3600,0.51813,"{""ntp"": 0.06495169550180435, ""jepa_pooled"": 0.4531809091567993}",0.28906,0.60156,80.86,1.24e-04,352209
3800,0.51908,"{""ntp"": 0.07061793655157089, ""jepa_pooled"": 0.44846299290657043}",0.30078,0.58203,79.32,1.06e-04,352212
4000,0.53675,"{""ntp"": 0.07284662127494812, ""jepa_pooled"": 0.463905394077301}",0.29688,0.60938,78.67,1.00e-04,352214
