step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.87623,"{""ntp"": 1.2761754989624023, ""mtp"": 1.6000573635101318}",0.00000,0.00391,58.61,1.00e-03,245192
400,2.58726,"{""ntp"": 1.0649104118347168, ""mtp"": 1.5223510265350342}",0.00000,0.00000,54.63,9.94e-04,246378
600,1.91595,"{""ntp"": 0.4607219099998474, ""mtp"": 1.45522940158844}",0.00000,0.00391,54.44,9.76e-04,246738
800,1.73078,"{""ntp"": 0.3512803018093109, ""mtp"": 1.3794952630996704}",0.00000,0.00000,51.66,9.46e-04,246915
1000,1.60618,"{""ntp"": 0.26504623889923096, ""mtp"": 1.3411290645599365}",0.00000,0.00000,51.92,9.05e-04,247055
1200,1.44968,"{""ntp"": 0.1910502016544342, ""mtp"": 1.2586262226104736}",0.00781,0.54297,49.48,8.55e-04,247066
1400,1.31336,"{""ntp"": 0.15166844427585602, ""mtp"": 1.1616867780685425}",0.01562,0.50391,46.74,7.96e-04,247111
1600,1.25179,"{""ntp"": 0.11724717915058136, ""mtp"": 1.1345417499542236}",0.02734,0.46484,43.15,7.31e-04,247157
1800,1.15213,"{""ntp"": 0.07911134511232376, ""mtp"": 1.073017954826355}",0.07031,0.52344,40.59,6.60e-04,247177
2000,1.09548,"{""ntp"": 0.0736311748623848, ""mtp"": 1.0218497514724731}",0.08594,0.58984,35.63,5.87e-04,247203
2200,1.04994,"{""ntp"": 0.06390558928251266, ""mtp"": 0.9860298037528992}",0.07422,0.49219,33.62,5.13e-04,247222
2400,1.01372,"{""ntp"": 0.06423339247703552, ""mtp"": 0.949487566947937}",0.06641,0.49219,34.67,4.40e-04,247244
2600,0.97756,"{""ntp"": 0.05971340835094452, ""mtp"": 0.9178503751754761}",0.10156,0.54297,36.44,3.69e-04,247254
2800,0.93960,"{""ntp"": 0.05792130157351494, ""mtp"": 0.8816831111907959}",0.09766,0.50000,37.47,3.04e-04,247290
3000,0.90494,"{""ntp"": 0.05102524906396866, ""mtp"": 0.8539097309112549}",0.11328,0.51562,36.85,2.45e-04,247320
3200,0.86177,"{""ntp"": 0.0487416610121727, ""mtp"": 0.8130324482917786}",0.13672,0.55078,37.37,1.95e-04,247319
3400,0.84129,"{""ntp"": 0.05227213725447655, ""mtp"": 0.7890227437019348}",0.11719,0.53125,37.68,1.54e-04,247325
3600,0.81277,"{""ntp"": 0.04926392063498497, ""mtp"": 0.7635024189949036}",0.11328,0.52734,37.74,1.24e-04,247332
3800,0.79599,"{""ntp"": 0.04816180467605591, ""mtp"": 0.7478240132331848}",0.12500,0.53906,39.35,1.06e-04,247334
4000,0.79476,"{""ntp"": 0.04800255224108696, ""mtp"": 0.74676114320755}",0.11719,0.52734,38.18,1.00e-04,247325
