step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.26122,"{""ntp"": 1.2612159252166748}",0.00000,0.00781,45.83,1.00e-03,254603
400,0.98259,"{""ntp"": 0.9825881123542786}",0.00000,0.00000,44.68,9.94e-04,255780
600,0.39021,"{""ntp"": 0.39020562171936035}",0.00000,0.00781,37.21,9.76e-04,256120
800,0.34559,"{""ntp"": 0.3455933928489685}",0.00000,0.00391,35.26,9.46e-04,256303
1000,0.23801,"{""ntp"": 0.23800623416900635}",0.00000,0.00000,32.76,9.05e-04,256396
1200,0.16070,"{""ntp"": 0.16069810092449188}",0.00000,0.00000,18.79,8.55e-04,256465
1400,0.15374,"{""ntp"": 0.1537354290485382}",0.00000,0.00000,16.69,7.96e-04,256526
1600,0.14043,"{""ntp"": 0.14042948186397552}",0.00000,0.00000,16.34,7.31e-04,256545
1800,0.07368,"{""ntp"": 0.07367629557847977}",0.02344,0.49609,18.66,6.60e-04,256574
2000,0.07175,"{""ntp"": 0.07174844294786453}",0.06641,0.50000,18.44,5.87e-04,256587
2200,0.06666,"{""ntp"": 0.06665868312120438}",0.08203,0.51562,17.55,5.13e-04,256602
2400,0.05987,"{""ntp"": 0.05986509099602699}",0.07812,0.50781,18.60,4.40e-04,256612
2600,0.05669,"{""ntp"": 0.05669453740119934}",0.10547,0.56250,18.98,3.69e-04,256623
2800,0.05683,"{""ntp"": 0.05682693049311638}",0.08594,0.48828,19.11,3.04e-04,256628
3000,0.05173,"{""ntp"": 0.05173204094171524}",0.06641,0.51172,18.85,2.45e-04,256630
3200,0.04812,"{""ntp"": 0.048123832792043686}",0.09766,0.54688,18.23,1.95e-04,256632
3400,0.05025,"{""ntp"": 0.05025296285748482}",0.09375,0.53906,18.84,1.54e-04,256634
3600,0.05211,"{""ntp"": 0.05211324617266655}",0.12891,0.59766,18.37,1.24e-04,256635
3800,0.04778,"{""ntp"": 0.04777670279145241}",0.12109,0.55078,18.72,1.06e-04,256640
4000,0.04884,"{""ntp"": 0.04884348809719086}",0.09766,0.55469,18.60,1.00e-04,256641
