step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.91352,"{""ntp"": 0.8117202520370483, ""jepa_pooled"": 0.10179616510868073}",0.00000,0.36471,17.85,1.00e-03,178143
400,0.26105,"{""ntp"": 0.18357056379318237, ""jepa_pooled"": 0.07747648656368256}",0.26172,0.52549,28.88,9.94e-04,183367
600,0.20538,"{""ntp"": 0.13409629464149475, ""jepa_pooled"": 0.07128480076789856}",0.30078,0.56078,26.05,9.76e-04,185113
800,0.21720,"{""ntp"": 0.14018020033836365, ""jepa_pooled"": 0.07701823115348816}",0.36719,0.59216,27.71,9.46e-04,186456
1000,0.19470,"{""ntp"": 0.1276295781135559, ""jepa_pooled"": 0.06706912070512772}",0.38672,0.57647,27.57,9.05e-04,187180
1200,0.18107,"{""ntp"": 0.10984127968549728, ""jepa_pooled"": 0.07123357057571411}",0.46094,0.61176,27.78,8.55e-04,187072
1400,0.15121,"{""ntp"": 0.08935314416885376, ""jepa_pooled"": 0.06185384467244148}",0.43750,0.58431,27.19,7.96e-04,187365
1600,0.15961,"{""ntp"": 0.09111323207616806, ""jepa_pooled"": 0.06849676370620728}",0.46484,0.61176,26.66,7.31e-04,187592
1800,0.15342,"{""ntp"": 0.0888964831829071, ""jepa_pooled"": 0.06451888382434845}",0.47656,0.61569,26.64,6.60e-04,187609
2000,0.13680,"{""ntp"": 0.07493799924850464, ""jepa_pooled"": 0.06185784935951233}",0.43750,0.60784,24.47,5.87e-04,187846
2200,0.14070,"{""ntp"": 0.07772470265626907, ""jepa_pooled"": 0.06297089159488678}",0.49609,0.63529,23.98,5.13e-04,187874
2400,0.12238,"{""ntp"": 0.06369339674711227, ""jepa_pooled"": 0.05868672952055931}",0.50391,0.63529,23.82,4.40e-04,188041
2600,0.13141,"{""ntp"": 0.07283198088407516, ""jepa_pooled"": 0.05857471004128456}",0.50781,0.63137,21.86,3.69e-04,188115
2800,0.12741,"{""ntp"": 0.067961685359478, ""jepa_pooled"": 0.05944539234042168}",0.52734,0.65882,22.94,3.04e-04,188145
3000,0.11865,"{""ntp"": 0.06373756378889084, ""jepa_pooled"": 0.05490846559405327}",0.60156,0.74118,21.75,2.45e-04,188205
3200,0.12137,"{""ntp"": 0.065005823969841, ""jepa_pooled"": 0.05636553838849068}",0.58594,0.72941,22.35,1.95e-04,188209
3400,0.11665,"{""ntp"": 0.059956327080726624, ""jepa_pooled"": 0.05669654160737991}",0.65234,0.76471,21.06,1.54e-04,188279
3600,0.10194,"{""ntp"": 0.04886981472373009, ""jepa_pooled"": 0.053068649023771286}",0.64844,0.77647,21.06,1.24e-04,188383
3800,0.10689,"{""ntp"": 0.05639280751347542, ""jepa_pooled"": 0.05049645155668259}",0.65625,0.76471,21.10,1.06e-04,188449
4000,0.10676,"{""ntp"": 0.05357251316308975, ""jepa_pooled"": 0.05318479984998703}",0.67188,0.76863,20.09,1.00e-04,188519
