step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.98698,"{""ntp"": 0.9578893184661865, ""jepa_pooled"": 0.029091021046042442}",0.00000,0.29804,23.60,1.00e-03,158694
400,0.33308,"{""ntp"": 0.29973021149635315, ""jepa_pooled"": 0.033354271203279495}",0.10547,0.50196,36.30,9.94e-04,162740
600,0.19864,"{""ntp"": 0.14971108734607697, ""jepa_pooled"": 0.0489337295293808}",0.30078,0.54118,42.09,9.76e-04,163833
800,0.20208,"{""ntp"": 0.1400231271982193, ""jepa_pooled"": 0.062054410576820374}",0.29688,0.52549,46.33,9.46e-04,164608
1000,0.19792,"{""ntp"": 0.12443608045578003, ""jepa_pooled"": 0.07348024100065231}",0.30469,0.51373,48.09,9.05e-04,164849
1200,0.19834,"{""ntp"": 0.11983470618724823, ""jepa_pooled"": 0.07850301265716553}",0.38672,0.53333,50.95,8.55e-04,165198
1400,0.17373,"{""ntp"": 0.09067144989967346, ""jepa_pooled"": 0.083061583340168}",0.38672,0.55686,53.49,7.96e-04,165330
1600,0.18525,"{""ntp"": 0.09967508912086487, ""jepa_pooled"": 0.08557876944541931}",0.42188,0.59216,53.54,7.31e-04,165448
1800,0.17379,"{""ntp"": 0.08782636374235153, ""jepa_pooled"": 0.0859619751572609}",0.43750,0.56078,55.21,6.60e-04,165430
2000,0.16130,"{""ntp"": 0.07822354882955551, ""jepa_pooled"": 0.08307681232690811}",0.44922,0.59216,56.61,5.87e-04,165459
2200,0.15903,"{""ntp"": 0.07837914675474167, ""jepa_pooled"": 0.08065249770879745}",0.55859,0.68627,56.67,5.13e-04,165540
2400,0.15020,"{""ntp"": 0.07171174138784409, ""jepa_pooled"": 0.07849232852458954}",0.54688,0.67059,57.52,4.40e-04,165510
2600,0.14515,"{""ntp"": 0.0675669014453888, ""jepa_pooled"": 0.07758277654647827}",0.56641,0.68235,57.46,3.69e-04,165609
2800,0.13947,"{""ntp"": 0.065740667283535, ""jepa_pooled"": 0.07372798770666122}",0.60156,0.70588,58.59,3.04e-04,166282
3000,0.13824,"{""ntp"": 0.06730242818593979, ""jepa_pooled"": 0.07093675434589386}",0.65234,0.76863,58.71,2.45e-04,167127
3200,0.12564,"{""ntp"": 0.05596748739480972, ""jepa_pooled"": 0.069675974547863}",0.58594,0.72549,58.25,1.95e-04,167880
3400,0.12060,"{""ntp"": 0.05345487222075462, ""jepa_pooled"": 0.06714853644371033}",0.63672,0.73725,57.46,1.54e-04,168540
3600,0.11106,"{""ntp"": 0.04580102488398552, ""jepa_pooled"": 0.06526080518960953}",0.61719,0.73333,57.73,1.24e-04,169156
3800,0.12004,"{""ntp"": 0.05635863170027733, ""jepa_pooled"": 0.06368061155080795}",0.59766,0.70980,57.53,1.06e-04,169727
4000,0.10948,"{""ntp"": 0.04714656621217728, ""jepa_pooled"": 0.06233732029795647}",0.68750,0.77255,55.68,1.00e-04,170233
