step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.05979,"{""ntp"": 0.9474362730979919, ""jepa_pooled"": 0.1123509556055069}",0.01172,0.22134,25.56,1.00e-03,180893
400,0.25406,"{""ntp"": 0.20167192816734314, ""jepa_pooled"": 0.05239275470376015}",0.23828,0.50988,32.58,9.94e-04,186819
600,0.17580,"{""ntp"": 0.13912132382392883, ""jepa_pooled"": 0.03667816147208214}",0.31250,0.51779,32.92,9.76e-04,188728
800,0.17337,"{""ntp"": 0.13643774390220642, ""jepa_pooled"": 0.036935336887836456}",0.33594,0.51779,28.34,9.46e-04,189739
1000,0.15703,"{""ntp"": 0.13590900599956512, ""jepa_pooled"": 0.021121742203831673}",0.36719,0.58893,25.06,9.05e-04,190303
1200,0.12287,"{""ntp"": 0.1023591011762619, ""jepa_pooled"": 0.020512152463197708}",0.41797,0.58893,26.14,8.55e-04,190676
1400,0.14495,"{""ntp"": 0.12150464951992035, ""jepa_pooled"": 0.023447822779417038}",0.38672,0.56126,30.76,7.96e-04,190668
1600,0.12204,"{""ntp"": 0.10207897424697876, ""jepa_pooled"": 0.01996386982500553}",0.44922,0.56126,28.96,7.31e-04,190600
1800,0.10589,"{""ntp"": 0.08758554607629776, ""jepa_pooled"": 0.018303463235497475}",0.46875,0.58103,29.73,6.60e-04,190583
2000,0.10294,"{""ntp"": 0.08318700641393661, ""jepa_pooled"": 0.01975114643573761}",0.50781,0.60870,30.83,5.87e-04,190553
2200,0.10218,"{""ntp"": 0.0817524716258049, ""jepa_pooled"": 0.020428204908967018}",0.51562,0.62055,31.33,5.13e-04,190495
2400,0.10015,"{""ntp"": 0.07926880568265915, ""jepa_pooled"": 0.020885180681943893}",0.55859,0.64427,31.49,4.40e-04,190425
2600,0.08959,"{""ntp"": 0.06719586998224258, ""jepa_pooled"": 0.022393524646759033}",0.53906,0.62055,32.44,3.69e-04,190650
2800,0.08988,"{""ntp"": 0.0688246637582779, ""jepa_pooled"": 0.021052991971373558}",0.58984,0.66798,32.09,3.04e-04,191392
3000,0.08712,"{""ntp"": 0.06442001461982727, ""jepa_pooled"": 0.022703085094690323}",0.60156,0.68775,32.45,2.45e-04,192466
3200,0.08887,"{""ntp"": 0.06551074236631393, ""jepa_pooled"": 0.023361949250102043}",0.60938,0.67589,32.07,1.95e-04,193443
3400,0.08573,"{""ntp"": 0.06302326917648315, ""jepa_pooled"": 0.022709384560585022}",0.58594,0.70356,32.16,1.54e-04,194297
3600,0.07898,"{""ntp"": 0.05639415234327316, ""jepa_pooled"": 0.022581087425351143}",0.60547,0.68775,31.85,1.24e-04,195131
3800,0.08715,"{""ntp"": 0.06576067954301834, ""jepa_pooled"": 0.02139190398156643}",0.60938,0.69170,31.46,1.06e-04,195761
4000,0.08129,"{""ntp"": 0.059520427137613297, ""jepa_pooled"": 0.02176910825073719}",0.64062,0.69960,31.42,1.00e-04,196033
