step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.26911,"{""ntp"": 0.9529806971549988, ""jepa_pertoken"": 0.20675253868103027, ""jepa_pooled"": 0.10937221348285675}",0.00000,0.31765,26.21,1.00e-03,134856
400,0.63081,"{""ntp"": 0.2880893349647522, ""jepa_pertoken"": 0.21977940201759338, ""jepa_pooled"": 0.12294206768274307}",0.10938,0.47451,40.31,9.94e-04,139837
600,0.48245,"{""ntp"": 0.1771060973405838, ""jepa_pertoken"": 0.2005685567855835, ""jepa_pooled"": 0.10477733612060547}",0.27734,0.53725,43.42,9.76e-04,140057
800,0.42661,"{""ntp"": 0.1569644659757614, ""jepa_pertoken"": 0.18711265921592712, ""jepa_pooled"": 0.0825328603386879}",0.33594,0.54902,45.72,9.46e-04,140324
1000,0.37922,"{""ntp"": 0.1177903562784195, ""jepa_pertoken"": 0.18149904906749725, ""jepa_pooled"": 0.07993432134389877}",0.39844,0.58431,47.79,9.05e-04,140439
1200,0.36284,"{""ntp"": 0.10889552533626556, ""jepa_pertoken"": 0.17754897475242615, ""jepa_pooled"": 0.07639939337968826}",0.42969,0.59608,50.17,8.55e-04,140601
1400,0.32620,"{""ntp"": 0.09405048191547394, ""jepa_pertoken"": 0.16827163100242615, ""jepa_pooled"": 0.06388029456138611}",0.48828,0.66275,50.39,7.96e-04,140658
1600,0.33684,"{""ntp"": 0.09828399866819382, ""jepa_pertoken"": 0.1735992729663849, ""jepa_pooled"": 0.0649566799402237}",0.46875,0.60784,52.65,7.31e-04,140669
1800,0.30200,"{""ntp"": 0.0803317204117775, ""jepa_pertoken"": 0.16281622648239136, ""jepa_pooled"": 0.05884983018040657}",0.50000,0.65098,54.06,6.60e-04,140474
2000,0.29470,"{""ntp"": 0.07947245985269547, ""jepa_pertoken"": 0.16012851893901825, ""jepa_pooled"": 0.05510110780596733}",0.52344,0.68627,53.57,5.87e-04,140431
2200,0.29934,"{""ntp"": 0.07217802107334137, ""jepa_pertoken"": 0.16799362003803253, ""jepa_pooled"": 0.05916439741849899}",0.58203,0.71373,55.54,5.13e-04,140396
2400,0.28229,"{""ntp"": 0.06481470167636871, ""jepa_pertoken"": 0.16251637041568756, ""jepa_pooled"": 0.054958295077085495}",0.58594,0.67843,55.87,4.40e-04,140434
2600,0.27456,"{""ntp"": 0.05703160911798477, ""jepa_pertoken"": 0.16404101252555847, ""jepa_pooled"": 0.053485795855522156}",0.57422,0.67451,56.11,3.69e-04,140429
2800,0.27313,"{""ntp"": 0.06215666979551315, ""jepa_pertoken"": 0.16046246886253357, ""jepa_pooled"": 0.050515029579401016}",0.58203,0.67843,57.61,3.04e-04,140433
3000,0.27313,"{""ntp"": 0.0641879215836525, ""jepa_pertoken"": 0.1605316400527954, ""jepa_pooled"": 0.048415008932352066}",0.64844,0.73725,56.16,2.45e-04,140446
3200,0.26545,"{""ntp"": 0.05979271978139877, ""jepa_pertoken"": 0.15806227922439575, ""jepa_pooled"": 0.04759708046913147}",0.64062,0.71373,56.07,1.95e-04,140478
3400,0.25720,"{""ntp"": 0.05216262489557266, ""jepa_pertoken"": 0.15943197906017303, ""jepa_pooled"": 0.045600853860378265}",0.68359,0.75686,54.94,1.54e-04,140568
3600,0.24947,"{""ntp"": 0.044881854206323624, ""jepa_pertoken"": 0.16009613871574402, ""jepa_pooled"": 0.044493481516838074}",0.67188,0.73333,54.45,1.24e-04,140889
3800,0.25968,"{""ntp"": 0.05708003789186478, ""jepa_pertoken"": 0.158819779753685, ""jepa_pooled"": 0.04378120228648186}",0.67578,0.74118,55.23,1.06e-04,141323
4000,0.24659,"{""ntp"": 0.04563111811876297, ""jepa_pertoken"": 0.15831327438354492, ""jepa_pooled"": 0.04264191910624504}",0.69141,0.75294,54.01,1.00e-04,141311
