step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.27639,"{""ntp"": 1.1486202478408813, ""jepa_pooled"": 0.12777405977249146}",0.00000,0.06324,26.31,1.00e-03,294460
400,0.39602,"{""ntp"": 0.3110125660896301, ""jepa_pooled"": 0.08500771969556808}",0.11719,0.49407,38.07,9.94e-04,307300
600,0.22626,"{""ntp"": 0.15925686061382294, ""jepa_pooled"": 0.06700648367404938}",0.26953,0.48617,41.51,9.76e-04,311737
800,0.22167,"{""ntp"": 0.16065004467964172, ""jepa_pooled"": 0.06101866811513901}",0.32031,0.52569,46.03,9.46e-04,314055
1000,0.17062,"{""ntp"": 0.11452525109052658, ""jepa_pooled"": 0.05609595775604248}",0.35547,0.56126,45.04,9.05e-04,315552
1200,0.15743,"{""ntp"": 0.09999151527881622, ""jepa_pooled"": 0.05744188651442528}",0.36328,0.51383,48.50,8.55e-04,315986
1400,0.15856,"{""ntp"": 0.10543080419301987, ""jepa_pooled"": 0.05312462896108627}",0.48438,0.62055,47.78,7.96e-04,316299
1600,0.14699,"{""ntp"": 0.09336072951555252, ""jepa_pooled"": 0.05362609401345253}",0.49609,0.64822,47.84,7.31e-04,316427
1800,0.13841,"{""ntp"": 0.08768957853317261, ""jepa_pooled"": 0.05071869492530823}",0.45312,0.59289,50.36,6.60e-04,316695
2000,0.12521,"{""ntp"": 0.07904297113418579, ""jepa_pooled"": 0.04616326838731766}",0.52344,0.65613,50.24,5.87e-04,317186
2200,0.12261,"{""ntp"": 0.0740809515118599, ""jepa_pooled"": 0.04853256791830063}",0.51953,0.66403,51.35,5.13e-04,317682
2400,0.11593,"{""ntp"": 0.07031048834323883, ""jepa_pooled"": 0.0456167533993721}",0.51172,0.64822,51.85,4.40e-04,318080
2600,0.11523,"{""ntp"": 0.06699328869581223, ""jepa_pooled"": 0.0482410192489624}",0.53906,0.67984,52.81,3.69e-04,318397
2800,0.11205,"{""ntp"": 0.06465205550193787, ""jepa_pooled"": 0.04739640653133392}",0.64062,0.72332,53.26,3.04e-04,318663
3000,0.11001,"{""ntp"": 0.06348266452550888, ""jepa_pooled"": 0.046528831124305725}",0.61328,0.70356,53.31,2.45e-04,318911
3200,0.10290,"{""ntp"": 0.0562717467546463, ""jepa_pooled"": 0.04662713035941124}",0.58984,0.67589,53.58,1.95e-04,319156
3400,0.09861,"{""ntp"": 0.05278998240828514, ""jepa_pooled"": 0.0458204448223114}",0.62891,0.69170,53.05,1.54e-04,319234
3600,0.10466,"{""ntp"": 0.058591458946466446, ""jepa_pooled"": 0.04607240855693817}",0.66797,0.75099,53.48,1.24e-04,319593
3800,0.09924,"{""ntp"": 0.052584219723939896, ""jepa_pooled"": 0.04665642976760864}",0.58984,0.66008,54.16,1.06e-04,319758
4000,0.10103,"{""ntp"": 0.0552452988922596, ""jepa_pooled"": 0.04577997326850891}",0.62500,0.71937,53.15,1.00e-04,319880
