step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.11730,"{""ntp"": 1.032960057258606, ""mtp"": 1.084337592124939}",0.00000,0.18182,21.09,1.00e-03,286903
400,0.94851,"{""ntp"": 0.22728541493415833, ""mtp"": 0.7212230563163757}",0.23047,0.49802,23.97,9.94e-04,307208
600,0.69731,"{""ntp"": 0.13570141792297363, ""mtp"": 0.5616039633750916}",0.40234,0.57312,22.24,9.76e-04,317872
800,0.52540,"{""ntp"": 0.10377619415521622, ""mtp"": 0.4216229319572449}",0.47656,0.62846,20.35,9.46e-04,316117
1000,0.45285,"{""ntp"": 0.10236798226833344, ""mtp"": 0.35048598051071167}",0.44922,0.58893,18.07,9.05e-04,315463
1200,0.40156,"{""ntp"": 0.08743125945329666, ""mtp"": 0.3141307830810547}",0.51172,0.63636,17.85,8.55e-04,316191
1400,0.34485,"{""ntp"": 0.08085541427135468, ""mtp"": 0.2639954090118408}",0.53125,0.63636,15.90,7.96e-04,316374
1600,0.29692,"{""ntp"": 0.0710369423031807, ""mtp"": 0.2258819341659546}",0.56641,0.66403,12.32,7.31e-04,316745
1800,0.26140,"{""ntp"": 0.060387901961803436, ""mtp"": 0.2010098397731781}",0.57422,0.65613,10.98,6.60e-04,316259
2000,0.24482,"{""ntp"": 0.06045329198241234, ""mtp"": 0.18437084555625916}",0.59766,0.68775,10.63,5.87e-04,315758
2200,0.23815,"{""ntp"": 0.05689379945397377, ""mtp"": 0.18125566840171814}",0.68359,0.75494,9.63,5.13e-04,315796
2400,0.21697,"{""ntp"": 0.05398763343691826, ""mtp"": 0.16297978162765503}",0.67578,0.75099,9.48,4.40e-04,315741
2600,0.20283,"{""ntp"": 0.04603707790374756, ""mtp"": 0.15679627656936646}",0.68359,0.72332,9.36,3.69e-04,315696
2800,0.18730,"{""ntp"": 0.046438828110694885, ""mtp"": 0.14085763692855835}",0.66797,0.73123,8.76,3.04e-04,315468
3000,0.20235,"{""ntp"": 0.05288274213671684, ""mtp"": 0.14947077631950378}",0.66406,0.72332,8.80,2.45e-04,315273
3200,0.18172,"{""ntp"": 0.040801744908094406, ""mtp"": 0.1409148871898651}",0.68359,0.74308,8.95,1.95e-04,315293
3400,0.16266,"{""ntp"": 0.03840421140193939, ""mtp"": 0.12425943464040756}",0.73828,0.79447,8.46,1.54e-04,316924
3600,0.16427,"{""ntp"": 0.03594592213630676, ""mtp"": 0.1283203810453415}",0.75781,0.80237,8.99,1.24e-04,319487
3800,0.16564,"{""ntp"": 0.039272088557481766, ""mtp"": 0.12636539340019226}",0.73828,0.77866,9.00,1.06e-04,319150
4000,0.16103,"{""ntp"": 0.03791213780641556, ""mtp"": 0.12312144041061401}",0.75781,0.80237,9.67,1.00e-04,318890
