step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.94933,"{""ntp"": 0.8083750605583191, ""jepa_pertoken"": 0.140957772731781}",0.00391,0.31225,24.82,1.00e-03,291402
400,0.29811,"{""ntp"": 0.1836836338043213, ""jepa_pertoken"": 0.11443010717630386}",0.31250,0.55731,28.49,9.94e-04,305663
600,0.23314,"{""ntp"": 0.1260947436094284, ""jepa_pertoken"": 0.10704655200242996}",0.32812,0.52174,27.74,9.76e-04,310554
800,0.23267,"{""ntp"": 0.1270541101694107, ""jepa_pertoken"": 0.10562066733837128}",0.42188,0.56917,26.01,9.46e-04,313340
1000,0.21019,"{""ntp"": 0.11097235232591629, ""jepa_pertoken"": 0.09921334683895111}",0.43750,0.61265,24.98,9.05e-04,314528
1200,0.19311,"{""ntp"": 0.0926915854215622, ""jepa_pertoken"": 0.1004171371459961}",0.45312,0.60870,25.12,8.55e-04,317669
1400,0.19717,"{""ntp"": 0.10017667710781097, ""jepa_pertoken"": 0.0969938337802887}",0.48047,0.59684,29.95,7.96e-04,326645
1600,0.19001,"{""ntp"": 0.09504414349794388, ""jepa_pertoken"": 0.09496894478797913}",0.47656,0.58103,28.68,7.31e-04,333685
1800,0.17678,"{""ntp"": 0.08038271218538284, ""jepa_pertoken"": 0.09639396518468857}",0.48047,0.60474,29.80,6.60e-04,339369
2000,0.17943,"{""ntp"": 0.08466295897960663, ""jepa_pertoken"": 0.09476213157176971}",0.48047,0.58893,31.41,5.87e-04,344033
2200,0.17232,"{""ntp"": 0.07734164595603943, ""jepa_pertoken"": 0.09498003870248795}",0.51562,0.58893,32.27,5.13e-04,347886
2400,0.16647,"{""ntp"": 0.07332641631364822, ""jepa_pertoken"": 0.09314269572496414}",0.55078,0.64822,34.30,4.40e-04,351027
2600,0.15761,"{""ntp"": 0.0657627135515213, ""jepa_pertoken"": 0.09184891730546951}",0.56250,0.64032,33.95,3.69e-04,353787
2800,0.15604,"{""ntp"": 0.06543298810720444, ""jepa_pertoken"": 0.09061150252819061}",0.56641,0.65613,34.22,3.04e-04,356213
3000,0.15763,"{""ntp"": 0.06739408522844315, ""jepa_pertoken"": 0.0902375876903534}",0.57422,0.65217,35.83,2.45e-04,353736
3200,0.15185,"{""ntp"": 0.060476962476968765, ""jepa_pertoken"": 0.0913766399025917}",0.59766,0.67984,35.65,1.95e-04,351471
3400,0.15064,"{""ntp"": 0.0611419603228569, ""jepa_pertoken"": 0.08949854969978333}",0.57031,0.66008,35.54,1.54e-04,349458
3600,0.14466,"{""ntp"": 0.0552714467048645, ""jepa_pertoken"": 0.0893891379237175}",0.63281,0.69960,34.99,1.24e-04,347558
3800,0.14841,"{""ntp"": 0.05946392938494682, ""jepa_pertoken"": 0.08894218504428864}",0.59375,0.66403,34.86,1.06e-04,349457
4000,0.14210,"{""ntp"": 0.05285794287919998, ""jepa_pertoken"": 0.08924359828233719}",0.61328,0.68775,34.96,1.00e-04,348688
