step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.77246,"{""ntp"": 0.7724646925926208}",0.01562,0.29249,21.81,1.00e-03,305355
400,0.22587,"{""ntp"": 0.2258722186088562}",0.23047,0.53360,26.96,9.94e-04,317598
600,0.16026,"{""ntp"": 0.1602584272623062}",0.28516,0.47431,30.61,9.76e-04,321768
800,0.14145,"{""ntp"": 0.1414482742547989}",0.35938,0.52964,31.39,9.46e-04,324331
1000,0.13264,"{""ntp"": 0.1326448917388916}",0.36328,0.54545,30.76,9.05e-04,325905
1200,0.10034,"{""ntp"": 0.10034266114234924}",0.38672,0.58498,31.09,8.55e-04,327258
1400,0.10717,"{""ntp"": 0.10717166215181351}",0.45703,0.58893,31.66,7.96e-04,329658
1600,0.09469,"{""ntp"": 0.09468797594308853}",0.46094,0.57312,30.85,7.31e-04,331521
1800,0.08288,"{""ntp"": 0.08288206160068512}",0.47656,0.58103,30.50,6.60e-04,331831
2000,0.07976,"{""ntp"": 0.07976020127534866}",0.50000,0.58893,30.23,5.87e-04,333867
2200,0.08140,"{""ntp"": 0.08140017092227936}",0.50000,0.59684,29.80,5.13e-04,333890
2400,0.08087,"{""ntp"": 0.08086753636598587}",0.51562,0.62451,30.53,4.40e-04,333947
2600,0.06555,"{""ntp"": 0.06555405259132385}",0.50781,0.60870,29.45,3.69e-04,333990
2800,0.07367,"{""ntp"": 0.07366850227117538}",0.51953,0.62055,29.02,3.04e-04,333952
3000,0.06961,"{""ntp"": 0.06961476057767868}",0.51562,0.61265,29.87,2.45e-04,333887
3200,0.05886,"{""ntp"": 0.058862775564193726}",0.52344,0.59289,28.41,1.95e-04,333877
3400,0.06120,"{""ntp"": 0.06120038032531738}",0.52734,0.62846,28.29,1.54e-04,333940
3600,0.05822,"{""ntp"": 0.05822492390871048}",0.53906,0.62055,28.43,1.24e-04,333856
3800,0.06154,"{""ntp"": 0.06153789535164833}",0.54297,0.64032,27.97,1.06e-04,334317
4000,0.05861,"{""ntp"": 0.05860883742570877}",0.56250,0.63636,28.00,1.00e-04,337206
