step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.14553,"{""ntp"": 0.9137571454048157, ""jepa_pertoken"": 0.23177677392959595}",0.00000,0.28458,22.81,1.00e-03,265750
400,0.35514,"{""ntp"": 0.18047015368938446, ""jepa_pertoken"": 0.17467260360717773}",0.28906,0.53755,23.80,9.94e-04,282171
600,0.31266,"{""ntp"": 0.14599184691905975, ""jepa_pertoken"": 0.16667135059833527}",0.30469,0.50593,23.83,9.76e-04,288084
800,0.28965,"{""ntp"": 0.12372319400310516, ""jepa_pertoken"": 0.1659316122531891}",0.35938,0.50988,25.54,9.46e-04,291135
1000,0.29154,"{""ntp"": 0.12503936886787415, ""jepa_pertoken"": 0.16650299727916718}",0.37500,0.58103,24.84,9.05e-04,292759
1200,0.25882,"{""ntp"": 0.09894753992557526, ""jepa_pertoken"": 0.15987089276313782}",0.42969,0.55731,25.99,8.55e-04,293830
1400,0.25622,"{""ntp"": 0.09795724600553513, ""jepa_pertoken"": 0.15826502442359924}",0.42188,0.54545,28.25,7.96e-04,294587
1600,0.25266,"{""ntp"": 0.09539325535297394, ""jepa_pertoken"": 0.1572665572166443}",0.49609,0.60474,27.55,7.31e-04,295155
1800,0.23788,"{""ntp"": 0.08222602307796478, ""jepa_pertoken"": 0.15565136075019836}",0.45312,0.55731,27.70,6.60e-04,295649
2000,0.23045,"{""ntp"": 0.07769382745027542, ""jepa_pertoken"": 0.15275433659553528}",0.48828,0.59289,28.72,5.87e-04,298727
2200,0.23352,"{""ntp"": 0.07965140789747238, ""jepa_pertoken"": 0.15387199819087982}",0.49609,0.56917,30.93,5.13e-04,300480
2400,0.22724,"{""ntp"": 0.07570481300354004, ""jepa_pertoken"": 0.15153810381889343}",0.51953,0.61660,31.56,4.40e-04,300319
2600,0.21765,"{""ntp"": 0.06822356581687927, ""jepa_pertoken"": 0.1494254320859909}",0.55469,0.66008,32.93,3.69e-04,300500
2800,0.22002,"{""ntp"": 0.07205181568861008, ""jepa_pertoken"": 0.14797180891036987}",0.53906,0.64822,31.80,3.04e-04,300486
3000,0.21147,"{""ntp"": 0.06363415718078613, ""jepa_pertoken"": 0.14783824980258942}",0.54297,0.62451,32.18,2.45e-04,300362
3200,0.20946,"{""ntp"": 0.06270413100719452, ""jepa_pertoken"": 0.14675220847129822}",0.58984,0.66403,33.17,1.95e-04,302675
3400,0.20947,"{""ntp"": 0.0653802752494812, ""jepa_pertoken"": 0.14409078657627106}",0.58203,0.66798,32.76,1.54e-04,303952
3600,0.20191,"{""ntp"": 0.05665295943617821, ""jepa_pertoken"": 0.14525340497493744}",0.60547,0.69565,32.77,1.24e-04,303820
3800,0.20433,"{""ntp"": 0.059611134231090546, ""jepa_pertoken"": 0.1447235345840454}",0.60156,0.65217,32.34,1.06e-04,303614
4000,0.19639,"{""ntp"": 0.05189276859164238, ""jepa_pertoken"": 0.14450111985206604}",0.61328,0.67194,32.52,1.00e-04,303444
