step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.13629,"{""ntp"": 0.9616501927375793, ""jepa_pertoken"": 0.11252066493034363, ""jepa_pooled"": 0.06212037801742554}",0.00000,0.26087,26.51,1.00e-03,267501
400,0.33510,"{""ntp"": 0.2138155698776245, ""jepa_pertoken"": 0.08591286092996597, ""jepa_pooled"": 0.03536926954984665}",0.23438,0.50988,32.71,9.94e-04,277370
600,0.25604,"{""ntp"": 0.14187121391296387, ""jepa_pertoken"": 0.08149518072605133, ""jepa_pooled"": 0.03267441317439079}",0.37891,0.53755,34.72,9.76e-04,280653
800,0.23742,"{""ntp"": 0.12729397416114807, ""jepa_pertoken"": 0.07831486314535141, ""jepa_pooled"": 0.031810108572244644}",0.35547,0.51383,32.58,9.46e-04,282734
1000,0.22355,"{""ntp"": 0.1144450306892395, ""jepa_pertoken"": 0.07792340219020844, ""jepa_pooled"": 0.031185055151581764}",0.41797,0.60474,36.20,9.05e-04,284157
1200,0.20544,"{""ntp"": 0.10016067326068878, ""jepa_pertoken"": 0.07560047507286072, ""jepa_pooled"": 0.029675474390387535}",0.40234,0.54941,36.39,8.55e-04,285729
1400,0.21052,"{""ntp"": 0.10275018215179443, ""jepa_pertoken"": 0.07639381289482117, ""jepa_pooled"": 0.03137330338358879}",0.40625,0.54150,39.39,7.96e-04,286227
1600,0.19730,"{""ntp"": 0.09299175441265106, ""jepa_pertoken"": 0.07348762452602386, ""jepa_pooled"": 0.03081844188272953}",0.47656,0.59289,41.42,7.31e-04,286866
1800,0.18410,"{""ntp"": 0.07981918752193451, ""jepa_pertoken"": 0.0729193389415741, ""jepa_pooled"": 0.031365565955638885}",0.46484,0.57708,41.87,6.60e-04,287486
2000,0.17671,"{""ntp"": 0.07395347207784653, ""jepa_pertoken"": 0.07193568348884583, ""jepa_pooled"": 0.030824333429336548}",0.55078,0.66403,43.24,5.87e-04,288003
2200,0.16945,"{""ntp"": 0.06845251470804214, ""jepa_pertoken"": 0.071194127202034, ""jepa_pooled"": 0.029806267470121384}",0.56250,0.65613,43.63,5.13e-04,288181
2400,0.16674,"{""ntp"": 0.06862359493970871, ""jepa_pertoken"": 0.06963056325912476, ""jepa_pooled"": 0.02848784253001213}",0.58594,0.69170,43.13,4.40e-04,288533
2600,0.16232,"{""ntp"": 0.06475039571523666, ""jepa_pertoken"": 0.06948509812355042, ""jepa_pooled"": 0.028082475066184998}",0.58594,0.67589,43.18,3.69e-04,289104
2800,0.15529,"{""ntp"": 0.05941576883196831, ""jepa_pertoken"": 0.06851965934038162, ""jepa_pooled"": 0.027351874858140945}",0.61328,0.69170,42.15,3.04e-04,289421
3000,0.15051,"{""ntp"": 0.05603804811835289, ""jepa_pertoken"": 0.06788958609104156, ""jepa_pooled"": 0.02658095769584179}",0.57812,0.66403,42.01,2.45e-04,289796
3200,0.15460,"{""ntp"": 0.059090908616781235, ""jepa_pertoken"": 0.06810738146305084, ""jepa_pooled"": 0.027397532016038895}",0.64844,0.70356,41.39,1.95e-04,290176
3400,0.15514,"{""ntp"": 0.05991277098655701, ""jepa_pertoken"": 0.06810043752193451, ""jepa_pooled"": 0.02712230198085308}",0.60938,0.66798,41.07,1.54e-04,290434
3600,0.14273,"{""ntp"": 0.04871624335646629, ""jepa_pertoken"": 0.0675550177693367, ""jepa_pooled"": 0.026454906910657883}",0.65625,0.68775,40.53,1.24e-04,290641
3800,0.14995,"{""ntp"": 0.0561479851603508, ""jepa_pertoken"": 0.06745228916406631, ""jepa_pooled"": 0.02635348215699196}",0.63281,0.69565,39.98,1.06e-04,290885
4000,0.14523,"{""ntp"": 0.051132988184690475, ""jepa_pertoken"": 0.06781310588121414, ""jepa_pooled"": 0.026286326348781586}",0.65625,0.70356,39.92,1.00e-04,292324
