step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.10892,"{""ntp"": 1.1089198589324951}",0.00000,0.00000,0.05783,2.22,1.00e-03,222199
400,0.90547,"{""ntp"": 0.9054669141769409}",0.00000,0.46875,0.13869,3.30,9.94e-04,230620
600,0.80565,"{""ntp"": 0.8056510090827942}",0.00000,1.00000,0.12287,3.40,9.76e-04,233481
800,0.69041,"{""ntp"": 0.6904147267341614}",0.00000,0.99219,0.14865,6.45,9.46e-04,238264
1000,0.64595,"{""ntp"": 0.6459509134292603}",0.00000,0.97656,0.20149,6.50,9.05e-04,236781
1200,0.28508,"{""ntp"": 0.28508460521698}",0.00391,0.35156,0.70081,5.99,8.55e-04,237790
1400,0.24337,"{""ntp"": 0.2433663010597229}",0.01562,0.27344,0.73708,6.69,7.96e-04,240851
1600,0.24575,"{""ntp"": 0.24575267732143402}",0.02734,0.37109,0.74609,7.42,7.31e-04,240728
1800,0.23097,"{""ntp"": 0.23097187280654907}",0.03906,0.32031,0.76250,7.41,6.60e-04,240671
2000,0.23320,"{""ntp"": 0.23320333659648895}",0.01953,0.34375,0.76649,8.12,5.87e-04,240641
2200,0.23130,"{""ntp"": 0.23129692673683167}",0.01953,0.19531,0.73715,8.31,5.13e-04,242475
2400,0.22003,"{""ntp"": 0.22002892196178436}",0.02734,0.27734,0.76459,8.76,4.40e-04,242204
2600,0.21712,"{""ntp"": 0.21712328493595123}",0.04688,0.22266,0.77320,8.88,3.69e-04,242121
2800,0.21543,"{""ntp"": 0.2154291570186615}",0.01953,0.18359,0.73139,8.30,3.04e-04,242124
3000,0.20985,"{""ntp"": 0.20984508097171783}",0.04688,0.27344,0.77853,9.29,2.45e-04,241163
3200,0.20785,"{""ntp"": 0.20784911513328552}",0.05078,0.25000,0.78970,8.91,1.95e-04,240777
3400,0.20621,"{""ntp"": 0.20620517432689667}",0.05469,0.33203,0.78797,8.84,1.54e-04,240627
3600,0.20174,"{""ntp"": 0.20173677802085876}",0.04688,0.24219,0.76940,8.86,1.24e-04,240647
3800,0.19937,"{""ntp"": 0.19937410950660706}",0.03906,0.23438,0.74935,9.26,1.06e-04,240535
4000,0.20241,"{""ntp"": 0.20241199433803558}",0.03125,0.23828,0.75551,9.39,1.00e-04,240593
