step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.50050,"{""ntp"": 0.500504732131958}",0.00000,0.01042,0.02438,25.07,1.00e-03,142793
400,0.18501,"{""ntp"": 0.18501220643520355}",0.01562,0.39062,0.73389,32.56,9.94e-04,145407
600,0.16680,"{""ntp"": 0.16680368781089783}",0.01562,0.41667,0.80750,37.34,9.76e-04,146297
800,0.14773,"{""ntp"": 0.14772699773311615}",0.07812,0.52474,0.91176,40.47,9.46e-04,147322
1000,0.13489,"{""ntp"": 0.1348898559808731}",0.09375,0.57031,0.93386,42.67,9.05e-04,147989
1200,0.13993,"{""ntp"": 0.139933243393898}",0.13281,0.62891,0.95403,44.49,8.55e-04,148565
1400,0.12890,"{""ntp"": 0.1289028823375702}",0.12891,0.61068,0.97702,46.64,7.96e-04,148929
1600,0.13141,"{""ntp"": 0.13140679895877838}",0.17188,0.71094,0.97827,46.96,7.31e-04,149080
1800,0.10629,"{""ntp"": 0.10629183053970337}",0.25781,0.73307,0.98084,47.73,6.60e-04,149498
2000,0.11881,"{""ntp"": 0.11881469190120697}",0.30859,0.77214,0.99191,48.21,5.87e-04,150425
2200,0.10852,"{""ntp"": 0.10851935297250748}",0.40625,0.79557,0.99098,48.11,5.13e-04,150577
2400,0.09980,"{""ntp"": 0.09980230033397675}",0.48828,0.83333,0.99415,47.29,4.40e-04,149861
2600,0.10924,"{""ntp"": 0.1092386543750763}",0.63281,0.90495,0.99763,48.55,3.69e-04,149365
2800,0.09674,"{""ntp"": 0.09674247354269028}",0.67578,0.90625,0.99374,47.00,3.04e-04,148924
3000,0.09524,"{""ntp"": 0.09524144232273102}",0.70703,0.92578,0.99752,46.63,2.45e-04,148985
3200,0.09389,"{""ntp"": 0.09389174729585648}",0.76953,0.94661,0.99533,47.10,1.95e-04,148569
3400,0.10281,"{""ntp"": 0.10280640423297882}",0.78516,0.95443,0.99815,46.31,1.54e-04,148377
3600,0.09300,"{""ntp"": 0.09300179779529572}",0.83984,0.96094,0.99910,46.75,1.24e-04,148362
3800,0.08902,"{""ntp"": 0.0890180692076683}",0.83203,0.96224,0.99952,46.52,1.06e-04,148416
4000,0.08841,"{""ntp"": 0.08841247856616974}",0.80859,0.95833,0.99940,46.52,1.00e-04,148469
