step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.32912,"{""ntp"": 2.239814043045044, ""jepa_pooled"": 0.08930783718824387}",0.00000,0.04688,26.29,1.00e-03,223040
400,2.17051,"{""ntp"": 2.1106698513031006, ""jepa_pooled"": 0.05983753502368927}",0.00000,0.05859,29.10,9.94e-04,232982
600,2.07812,"{""ntp"": 2.031367301940918, ""jepa_pooled"": 0.04675649106502533}",0.00000,0.07812,34.22,9.76e-04,235374
800,2.03201,"{""ntp"": 1.99306321144104, ""jepa_pooled"": 0.038945723325014114}",0.00000,0.02734,36.38,9.46e-04,238099
1000,2.02353,"{""ntp"": 1.9855797290802002, ""jepa_pooled"": 0.03794880956411362}",0.00000,0.05469,39.25,9.05e-04,237903
1200,1.95088,"{""ntp"": 1.9160834550857544, ""jepa_pooled"": 0.03480134904384613}",0.00000,0.08203,39.67,8.55e-04,239565
1400,1.95448,"{""ntp"": 1.9220095872879028, ""jepa_pooled"": 0.03246734291315079}",0.00000,0.07031,40.50,7.96e-04,239023
1600,1.91513,"{""ntp"": 1.884665608406067, ""jepa_pooled"": 0.03045990876853466}",0.00000,0.06250,41.64,7.31e-04,243499
1800,1.89869,"{""ntp"": 1.8693628311157227, ""jepa_pooled"": 0.029329590499401093}",0.00000,0.04297,40.70,6.60e-04,249757
2000,1.87688,"{""ntp"": 1.850103497505188, ""jepa_pooled"": 0.026778586208820343}",0.00000,0.03906,41.05,5.87e-04,251411
2200,1.81503,"{""ntp"": 1.7900779247283936, ""jepa_pooled"": 0.024950718507170677}",0.00000,0.05469,39.04,5.13e-04,251889
2400,1.83185,"{""ntp"": 1.8078550100326538, ""jepa_pooled"": 0.02399277873337269}",0.00000,0.06250,41.13,4.40e-04,251634
2600,1.81467,"{""ntp"": 1.7926349639892578, ""jepa_pooled"": 0.02203865349292755}",0.00000,0.04688,38.52,3.69e-04,251581
2800,1.77605,"{""ntp"": 1.7539024353027344, ""jepa_pooled"": 0.022146183997392654}",0.00000,0.05469,39.79,3.04e-04,251174
3000,1.79087,"{""ntp"": 1.7692623138427734, ""jepa_pooled"": 0.021611308678984642}",0.00000,0.06641,40.76,2.45e-04,250411
3200,1.76976,"{""ntp"": 1.748716115951538, ""jepa_pooled"": 0.0210465919226408}",0.00000,0.05859,41.25,1.95e-04,250544
3400,1.75604,"{""ntp"": 1.735729455947876, ""jepa_pooled"": 0.020312823355197906}",0.00000,0.07812,42.22,1.54e-04,250694
3600,1.75796,"{""ntp"": 1.7375308275222778, ""jepa_pooled"": 0.02043014019727707}",0.00000,0.07031,41.68,1.24e-04,250386
3800,1.75908,"{""ntp"": 1.7385156154632568, ""jepa_pooled"": 0.020567424595355988}",0.00000,0.06641,43.22,1.06e-04,249878
4000,1.75495,"{""ntp"": 1.7346317768096924, ""jepa_pooled"": 0.020315181463956833}",0.00000,0.03906,43.40,1.00e-04,250164
