step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,3.83527,"{""ntp"": 2.293210744857788, ""mtp"": 1.5420573949813843}",0.0,0.0234375,21.80,1.00e-03,215547
400,3.32037,"{""ntp"": 2.1236135959625244, ""mtp"": 1.1967602968215942}",0.0,0.046875,15.57,9.94e-04,223728
600,3.10122,"{""ntp"": 2.017242670059204, ""mtp"": 1.0839766263961792}",0.0,0.0625,6.03,9.76e-04,234043
800,2.98550,"{""ntp"": 1.9529703855514526, ""mtp"": 1.0325249433517456}",0.0,0.0546875,3.43,9.46e-04,234363
1000,2.93557,"{""ntp"": 1.9208368062973022, ""mtp"": 1.0147323608398438}",0.0,0.04296875,2.99,9.05e-04,234053
1200,2.85802,"{""ntp"": 1.8768118619918823, ""mtp"": 0.981209397315979}",0.0,0.046875,2.26,8.55e-04,237556
1400,2.80453,"{""ntp"": 1.8327332735061646, ""mtp"": 0.9717986583709717}",0.0,0.0625,1.81,7.96e-04,237133
1600,2.12243,"{""ntp"": 1.1574761867523193, ""mtp"": 0.9649491310119629}",0.01953125,0.125,2.24,7.31e-04,235493
1800,1.14742,"{""ntp"": 0.37445905804634094, ""mtp"": 0.7729584574699402}",0.15234375,0.15234375,2.24,6.60e-04,240132
2000,1.10541,"{""ntp"": 0.38294172286987305, ""mtp"": 0.7224688529968262}",0.171875,0.171875,2.21,5.87e-04,239742
2200,1.03473,"{""ntp"": 0.3406655788421631, ""mtp"": 0.6940689086914062}",0.1796875,0.1796875,2.00,5.13e-04,242191
2400,0.99532,"{""ntp"": 0.3006589710712433, ""mtp"": 0.6946585178375244}",0.234375,0.234375,1.97,4.40e-04,241491
2600,0.97806,"{""ntp"": 0.3068149983882904, ""mtp"": 0.6712478995323181}",0.2109375,0.2109375,1.93,3.69e-04,241002
2800,0.96270,"{""ntp"": 0.30030664801597595, ""mtp"": 0.6623929142951965}",0.1953125,0.1953125,1.92,3.04e-04,242799
3000,0.94804,"{""ntp"": 0.29856428503990173, ""mtp"": 0.6494799852371216}",0.18359375,0.18359375,1.91,2.45e-04,243453
3200,0.92264,"{""ntp"": 0.28376004099845886, ""mtp"": 0.6388786435127258}",0.17578125,0.17578125,1.98,1.95e-04,246203
3400,0.89868,"{""ntp"": 0.27215638756752014, ""mtp"": 0.6265207529067993}",0.17578125,0.17578125,2.05,1.54e-04,248684
3600,0.89923,"{""ntp"": 0.271535187959671, ""mtp"": 0.627691388130188}",0.16796875,0.16796875,2.11,1.24e-04,247951
3800,0.86863,"{""ntp"": 0.2520885169506073, ""mtp"": 0.6165407299995422}",0.17578125,0.17578125,2.06,1.06e-04,247547
4000,0.89297,"{""ntp"": 0.2699560225009918, ""mtp"": 0.623018741607666}",0.140625,0.140625,2.15,1.00e-04,247516
