step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.33879,"{""ntp"": 2.20622181892395, ""jepa_pertoken"": 0.1325635015964508}",0.00000,0.03516,26.26,1.00e-03,220049
400,2.14065,"{""ntp"": 2.0698883533477783, ""jepa_pertoken"": 0.07076355069875717}",0.00000,0.03906,27.71,9.94e-04,227379
600,2.10438,"{""ntp"": 2.0371205806732178, ""jepa_pertoken"": 0.06725611537694931}",0.00000,0.05078,30.95,9.76e-04,233540
800,2.05286,"{""ntp"": 1.9955413341522217, ""jepa_pertoken"": 0.05731405317783356}",0.00000,0.03516,35.97,9.46e-04,240790
1000,2.00982,"{""ntp"": 1.9554059505462646, ""jepa_pertoken"": 0.054415635764598846}",0.00000,0.04688,38.62,9.05e-04,246261
1200,1.99276,"{""ntp"": 1.9448879957199097, ""jepa_pertoken"": 0.04787041246891022}",0.00000,0.07422,36.28,8.55e-04,245034
1400,1.94954,"{""ntp"": 1.9032888412475586, ""jepa_pertoken"": 0.0462549664080143}",0.00000,0.06250,39.81,7.96e-04,243418
1600,1.90021,"{""ntp"": 1.854885220527649, ""jepa_pertoken"": 0.04532104358077049}",0.00000,0.06250,42.65,7.31e-04,250067
1800,1.91004,"{""ntp"": 1.8693466186523438, ""jepa_pertoken"": 0.04069151729345322}",0.00000,0.07031,40.70,6.60e-04,250984
2000,1.85635,"{""ntp"": 1.8171168565750122, ""jepa_pertoken"": 0.0392317920923233}",0.00000,0.07422,42.25,5.87e-04,249856
2200,1.85278,"{""ntp"": 1.8148590326309204, ""jepa_pertoken"": 0.037923138588666916}",0.00000,0.03516,42.50,5.13e-04,254298
2400,1.81881,"{""ntp"": 1.7810633182525635, ""jepa_pertoken"": 0.0377420112490654}",0.00000,0.04688,43.48,4.40e-04,258212
2600,1.83924,"{""ntp"": 1.8026777505874634, ""jepa_pertoken"": 0.0365619882941246}",0.00000,0.05469,43.31,3.69e-04,260019
2800,1.81135,"{""ntp"": 1.7738866806030273, ""jepa_pertoken"": 0.03746512159705162}",0.00000,0.05469,44.40,3.04e-04,259917
3000,1.81701,"{""ntp"": 1.7798898220062256, ""jepa_pertoken"": 0.037117864936590195}",0.00000,0.06250,44.16,2.45e-04,259124
3200,1.80201,"{""ntp"": 1.7649917602539062, ""jepa_pertoken"": 0.037013743072748184}",0.00000,0.04688,45.94,1.95e-04,258302
3400,1.77594,"{""ntp"": 1.7394790649414062, ""jepa_pertoken"": 0.036464445292949677}",0.00000,0.04688,46.06,1.54e-04,258262
3600,1.77397,"{""ntp"": 1.7376630306243896, ""jepa_pertoken"": 0.03630426898598671}",0.00000,0.05859,45.67,1.24e-04,257512
3800,1.80443,"{""ntp"": 1.7679625749588013, ""jepa_pertoken"": 0.03646482527256012}",0.00000,0.05859,45.76,1.06e-04,257325
4000,1.78093,"{""ntp"": 1.7451642751693726, ""jepa_pertoken"": 0.03576158732175827}",0.00000,0.05469,46.01,1.00e-04,256960
