step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.28638,"{""ntp"": 2.2863810062408447}",0.0,0.015625,3.31,1.00e-03,246618
400,2.14266,"{""ntp"": 2.142657995223999}",0.0,0.0546875,16.54,9.94e-04,248627
600,2.03485,"{""ntp"": 2.034848690032959}",0.0,0.02734375,28.56,9.76e-04,253248
800,1.97643,"{""ntp"": 1.9764262437820435}",0.0,0.04296875,33.21,9.46e-04,257531
1000,1.90020,"{""ntp"": 1.9002019166946411}",0.0,0.0546875,37.53,9.05e-04,258590
1200,1.91049,"{""ntp"": 1.9104887247085571}",0.0,0.06640625,38.65,8.55e-04,258496
1400,1.89561,"{""ntp"": 1.895611047744751}",0.0,0.05078125,35.55,7.96e-04,258850
1600,1.87137,"{""ntp"": 1.8713653087615967}",0.0,0.03515625,37.56,7.31e-04,258577
1800,1.86016,"{""ntp"": 1.8601552248001099}",0.0,0.05859375,37.08,6.60e-04,258876
2000,1.84835,"{""ntp"": 1.8483524322509766}",0.0,0.06640625,37.34,5.87e-04,259214
2200,1.83253,"{""ntp"": 1.8325254917144775}",0.0,0.06640625,38.17,5.13e-04,260030
2400,1.81632,"{""ntp"": 1.8163214921951294}",0.0,0.0390625,38.99,4.40e-04,259671
2600,1.81199,"{""ntp"": 1.8119943141937256}",0.0,0.04296875,40.62,3.69e-04,259928
2800,1.80399,"{""ntp"": 1.8039910793304443}",0.0,0.0546875,40.47,3.04e-04,260291
3000,1.78571,"{""ntp"": 1.7857072353363037}",0.0,0.05859375,41.82,2.45e-04,261021
3200,1.79303,"{""ntp"": 1.7930330038070679}",0.0,0.06640625,40.53,1.95e-04,262085
3400,1.78796,"{""ntp"": 1.7879559993743896}",0.0,0.0625,41.51,1.54e-04,261513
3600,1.77922,"{""ntp"": 1.779224157333374}",0.0,0.046875,42.19,1.24e-04,260790
3800,1.78896,"{""ntp"": 1.7889606952667236}",0.0,0.0625,41.47,1.06e-04,260924
4000,1.78136,"{""ntp"": 1.781363844871521}",0.0,0.0390625,40.12,1.00e-04,260447
