step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.39339,"{""ntp"": 2.243058681488037, ""jepa_pertoken"": 0.1503337323665619}",0.00000,0.03906,26.27,1.00e-03,192317
400,2.19347,"{""ntp"": 2.106795072555542, ""jepa_pertoken"": 0.08667195588350296}",0.00000,0.05078,29.47,9.94e-04,225464
600,2.10193,"{""ntp"": 2.027064800262451, ""jepa_pertoken"": 0.07486569136381149}",0.00000,0.02734,32.58,9.76e-04,239108
800,2.07562,"{""ntp"": 2.0055196285247803, ""jepa_pertoken"": 0.0701029896736145}",0.00000,0.03516,32.11,9.46e-04,247117
1000,2.02477,"{""ntp"": 1.9601572751998901, ""jepa_pertoken"": 0.06461132317781448}",0.00000,0.03906,24.67,9.05e-04,251619
1200,2.00306,"{""ntp"": 1.937103271484375, ""jepa_pertoken"": 0.06595970690250397}",0.00000,0.02734,19.43,8.55e-04,254803
1400,1.96702,"{""ntp"": 1.9063527584075928, ""jepa_pertoken"": 0.06066237762570381}",0.00000,0.02734,12.20,7.96e-04,249867
1600,1.91032,"{""ntp"": 1.8561556339263916, ""jepa_pertoken"": 0.05416840687394142}",0.00000,0.04688,10.64,7.31e-04,252605
1800,1.90913,"{""ntp"": 1.857505202293396, ""jepa_pertoken"": 0.05162487551569939}",0.00000,0.04297,6.11,6.60e-04,254491
2000,1.92814,"{""ntp"": 1.8781236410140991, ""jepa_pertoken"": 0.05001271143555641}",0.00000,0.05469,8.39,5.87e-04,255613
2200,1.87226,"{""ntp"": 1.8223217725753784, ""jepa_pertoken"": 0.049935050308704376}",0.00000,0.03125,7.76,5.13e-04,254624
2400,1.87836,"{""ntp"": 1.8299397230148315, ""jepa_pertoken"": 0.048422038555145264}",0.00000,0.05078,6.94,4.40e-04,254265
2600,1.84140,"{""ntp"": 1.7918338775634766, ""jepa_pertoken"": 0.049568332731723785}",0.00000,0.05469,6.34,3.69e-04,255626
2800,1.84334,"{""ntp"": 1.795710563659668, ""jepa_pertoken"": 0.047626838088035583}",0.00000,0.05469,5.48,3.04e-04,256802
3000,1.83062,"{""ntp"": 1.78286612033844, ""jepa_pertoken"": 0.047755420207977295}",0.00000,0.05078,8.55,2.45e-04,254511
3200,1.80287,"{""ntp"": 1.7554219961166382, ""jepa_pertoken"": 0.047449395060539246}",0.00000,0.05469,5.51,1.95e-04,252359
3400,1.79634,"{""ntp"": 1.748963713645935, ""jepa_pertoken"": 0.04737301170825958}",0.00000,0.04297,9.22,1.54e-04,250483
3600,1.79397,"{""ntp"": 1.74674391746521, ""jepa_pertoken"": 0.04722616448998451}",0.00000,0.03906,7.51,1.24e-04,251531
3800,1.78471,"{""ntp"": 1.7378596067428589, ""jepa_pertoken"": 0.046853840351104736}",0.00000,0.03906,9.09,1.06e-04,252085
4000,1.79791,"{""ntp"": 1.75017511844635, ""jepa_pertoken"": 0.04773901402950287}",0.00000,0.02734,5.77,1.00e-04,250404
