step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.34163,"{""ntp"": 2.2052297592163086, ""jepa_pertoken"": 0.08795586973428726, ""jepa_pooled"": 0.04844418913125992}",0.00000,0.02344,24.21,1.00e-03,197186
400,2.19473,"{""ntp"": 2.099583864212036, ""jepa_pertoken"": 0.06461125612258911, ""jepa_pooled"": 0.030531812459230423}",0.00000,0.05469,29.02,9.94e-04,219026
600,2.10331,"{""ntp"": 2.031367540359497, ""jepa_pertoken"": 0.048667874187231064, ""jepa_pooled"": 0.02327864244580269}",0.00000,0.05859,32.35,9.76e-04,229868
800,2.05932,"{""ntp"": 1.9918714761734009, ""jepa_pertoken"": 0.046378448605537415, ""jepa_pooled"": 0.02107367292046547}",0.00000,0.03516,41.31,9.46e-04,224787
1000,1.97971,"{""ntp"": 1.9218019247055054, ""jepa_pertoken"": 0.04022931680083275, ""jepa_pooled"": 0.017679385840892792}",0.00000,0.04688,43.99,9.05e-04,221691
1200,1.93353,"{""ntp"": 1.878261685371399, ""jepa_pertoken"": 0.03803040087223053, ""jepa_pooled"": 0.017240099608898163}",0.00000,0.04688,46.84,8.55e-04,217560
1400,1.92205,"{""ntp"": 1.8725852966308594, ""jepa_pertoken"": 0.03429314121603966, ""jepa_pooled"": 0.015170345082879066}",0.00000,0.07812,48.40,7.96e-04,214754
1600,1.87313,"{""ntp"": 1.827972650527954, ""jepa_pertoken"": 0.03145850449800491, ""jepa_pooled"": 0.013696609996259212}",0.00000,0.05078,49.77,7.31e-04,212765
1800,1.86339,"{""ntp"": 1.8229533433914185, ""jepa_pertoken"": 0.028091145679354668, ""jepa_pooled"": 0.012345602735877037}",0.00000,0.06641,50.17,6.60e-04,211196
2000,1.83509,"{""ntp"": 1.79688560962677, ""jepa_pertoken"": 0.02702939882874489, ""jepa_pooled"": 0.011179917491972446}",0.00000,0.05469,50.34,5.87e-04,211448
2200,1.83959,"{""ntp"": 1.803233027458191, ""jepa_pertoken"": 0.026060255244374275, ""jepa_pooled"": 0.0102947186678648}",0.00000,0.04688,49.54,5.13e-04,211953
2400,1.79997,"{""ntp"": 1.7639844417572021, ""jepa_pertoken"": 0.026133008301258087, ""jepa_pooled"": 0.009854788891971111}",0.00000,0.01172,49.06,4.40e-04,210879
2600,1.80478,"{""ntp"": 1.7692919969558716, ""jepa_pertoken"": 0.02574564889073372, ""jepa_pooled"": 0.009742922149598598}",0.00000,0.05078,49.79,3.69e-04,213929
2800,1.77631,"{""ntp"": 1.7396069765090942, ""jepa_pertoken"": 0.026962870731949806, ""jepa_pooled"": 0.009740677662193775}",0.00000,0.04688,49.43,3.04e-04,216762
3000,1.77719,"{""ntp"": 1.7384332418441772, ""jepa_pertoken"": 0.02842414379119873, ""jepa_pooled"": 0.010327941738069057}",0.00000,0.03125,49.64,2.45e-04,217603
3200,1.77488,"{""ntp"": 1.7369853258132935, ""jepa_pertoken"": 0.027922868728637695, ""jepa_pooled"": 0.009968128986656666}",0.00000,0.04297,49.71,1.95e-04,216533
3400,1.74128,"{""ntp"": 1.7035499811172485, ""jepa_pertoken"": 0.027882713824510574, ""jepa_pooled"": 0.009851040318608284}",0.00000,0.03906,49.14,1.54e-04,215461
3600,1.75108,"{""ntp"": 1.712654948234558, ""jepa_pertoken"": 0.028256472200155258, ""jepa_pooled"": 0.010167157277464867}",0.00000,0.04297,49.11,1.24e-04,215083
3800,1.72339,"{""ntp"": 1.6852266788482666, ""jepa_pertoken"": 0.028073033317923546, ""jepa_pooled"": 0.010088096372783184}",0.00000,0.06641,47.52,1.06e-04,214596
4000,1.73928,"{""ntp"": 1.6989619731903076, ""jepa_pertoken"": 0.029643047600984573, ""jepa_pooled"": 0.010675559751689434}",0.00000,0.06641,46.80,1.00e-04,213752
