step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,2.56426,"{""ntp"": 2.4722208976745605, ""jepa_pooled"": 0.09203790128231049}",2.50876,12.28965,110.32,6.00e-04,178838
1000,2.08763,"{""ntp"": 2.0134921073913574, ""jepa_pooled"": 0.07413528859615326}",1.98062,7.24724,170.14,5.99e-04,179751
1500,1.83487,"{""ntp"": 1.7730644941329956, ""jepa_pooled"": 0.06180795654654503}",1.82181,6.18303,191.82,5.97e-04,180128
2000,1.72714,"{""ntp"": 1.6747268438339233, ""jepa_pooled"": 0.052412670105695724}",1.73563,5.67248,200.28,5.92e-04,180320
2500,1.70274,"{""ntp"": 1.6591163873672485, ""jepa_pooled"": 0.043627962470054626}",1.67458,5.33656,197.93,5.86e-04,180416
3000,1.66420,"{""ntp"": 1.6282665729522705, ""jepa_pooled"": 0.0359303280711174}",1.63494,5.12916,201.56,5.78e-04,180490
3500,1.60810,"{""ntp"": 1.5770046710968018, ""jepa_pooled"": 0.03109658509492874}",1.60161,4.96102,203.06,5.69e-04,180514
4000,1.62661,"{""ntp"": 1.5985060930252075, ""jepa_pooled"": 0.028107065707445145}",1.56947,4.80412,202.22,5.58e-04,180550
4500,1.56592,"{""ntp"": 1.5414179563522339, ""jepa_pooled"": 0.024501975625753403}",1.54864,4.70506,201.62,5.46e-04,180583
5000,1.47363,"{""ntp"": 1.4523828029632568, ""jepa_pooled"": 0.021250391378998756}",1.52487,4.59455,198.73,5.32e-04,180603
5500,1.50417,"{""ntp"": 1.4844666719436646, ""jepa_pooled"": 0.01970287412405014}",1.51329,4.54166,209.04,5.17e-04,180619
6000,1.49829,"{""ntp"": 1.4790706634521484, ""jepa_pooled"": 0.01921859383583069}",1.49269,4.44904,207.86,5.01e-04,180639
6500,1.49940,"{""ntp"": 1.4814971685409546, ""jepa_pooled"": 0.01790737360715866}",1.47760,4.38244,201.04,4.83e-04,180655
7000,1.49544,"{""ntp"": 1.4787191152572632, ""jepa_pooled"": 0.016721906140446663}",1.46677,4.33522,200.14,4.65e-04,180668
7500,1.43091,"{""ntp"": 1.4155927896499634, ""jepa_pooled"": 0.01532001793384552}",1.45104,4.26753,199.82,4.46e-04,180675
8000,1.41915,"{""ntp"": 1.4044461250305176, ""jepa_pooled"": 0.014705436304211617}",1.44039,4.22235,199.07,4.26e-04,180675
8500,1.42832,"{""ntp"": 1.4134564399719238, ""jepa_pooled"": 0.014862813986837864}",1.42869,4.17322,194.88,4.05e-04,180676
9000,1.41092,"{""ntp"": 1.3967335224151611, ""jepa_pooled"": 0.014190160669386387}",1.42074,4.14018,201.07,3.84e-04,180682
9500,1.39417,"{""ntp"": 1.380845069885254, ""jepa_pooled"": 0.013325889594852924}",1.41127,4.10115,195.88,3.63e-04,180680
10000,1.44376,"{""ntp"": 1.4302253723144531, ""jepa_pooled"": 0.013536504469811916}",1.40018,4.05592,198.68,3.41e-04,180686
10500,1.39471,"{""ntp"": 1.3815662860870361, ""jepa_pooled"": 0.013141034170985222}",1.39255,4.02508,198.73,3.19e-04,180687
11000,1.48232,"{""ntp"": 1.4689264297485352, ""jepa_pooled"": 0.013388673774898052}",1.38332,3.98811,196.66,2.97e-04,180679
11500,1.39434,"{""ntp"": 1.3820229768753052, ""jepa_pooled"": 0.01232094131410122}",1.37574,3.95800,195.50,2.76e-04,180675
12000,1.30939,"{""ntp"": 1.2972755432128906, ""jepa_pooled"": 0.012114941142499447}",1.37058,3.93764,190.63,2.55e-04,180677
12500,1.29175,"{""ntp"": 1.280214786529541, ""jepa_pooled"": 0.01153092086315155}",1.36150,3.90205,197.53,2.34e-04,180684
13000,1.29824,"{""ntp"": 1.2859331369400024, ""jepa_pooled"": 0.012302144430577755}",1.35628,3.88172,192.85,2.14e-04,180689
13500,1.37053,"{""ntp"": 1.3590723276138306, ""jepa_pooled"": 0.011453408747911453}",1.34951,3.85554,195.40,1.95e-04,180689
14000,1.23091,"{""ntp"": 1.219491720199585, ""jepa_pooled"": 0.011413979344069958}",1.34357,3.83268,187.84,1.77e-04,180691
14500,1.26335,"{""ntp"": 1.2519645690917969, ""jepa_pooled"": 0.0113831777125597}",1.33847,3.81320,192.25,1.59e-04,180697
15000,1.37390,"{""ntp"": 1.362352967262268, ""jepa_pooled"": 0.011542078107595444}",1.33329,3.79349,193.92,1.43e-04,180701
15500,1.32413,"{""ntp"": 1.3124918937683105, ""jepa_pooled"": 0.011636577546596527}",1.32848,3.77530,189.75,1.28e-04,180712
16000,1.30898,"{""ntp"": 1.2973212003707886, ""jepa_pooled"": 0.011661002412438393}",1.32462,3.76074,194.88,1.14e-04,180718
16500,1.24761,"{""ntp"": 1.236217737197876, ""jepa_pooled"": 0.011391417123377323}",1.32162,3.74948,194.59,1.02e-04,180717
17000,1.30598,"{""ntp"": 1.2946546077728271, ""jepa_pooled"": 0.011324283666908741}",1.31848,3.73773,189.56,9.09e-05,180719
17500,1.25157,"{""ntp"": 1.2404725551605225, ""jepa_pooled"": 0.011092698201537132}",1.31556,3.72684,195.92,8.16e-05,180720
18000,1.30042,"{""ntp"": 1.288979411125183, ""jepa_pooled"": 0.011443980038166046}",1.31243,3.71520,193.60,7.39e-05,180720
18500,1.27592,"{""ntp"": 1.2645487785339355, ""jepa_pooled"": 0.011366910301148891}",1.31116,3.71049,189.60,6.78e-05,180720
19000,1.24458,"{""ntp"": 1.2335699796676636, ""jepa_pooled"": 0.01100815087556839}",1.30784,3.69818,193.24,6.35e-05,180723
19500,1.29568,"{""ntp"": 1.2845276594161987, ""jepa_pooled"": 0.011156540364027023}",1.30649,3.69317,194.96,6.09e-05,180724
20000,1.26966,"{""ntp"": 1.2585532665252686, ""jepa_pooled"": 0.01110504288226366}",1.30558,3.68984,191.12,6.00e-05,180725
