step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,4.90301,"{""ntp"": 2.658257007598877, ""mtp"": 2.2447516918182373}",2.63553,13.95068,89.25,6.00e-04,154596
1000,4.01404,"{""ntp"": 2.026275396347046, ""mtp"": 1.987762212753296}",2.00336,7.41389,166.50,5.99e-04,155507
1500,3.73245,"{""ntp"": 1.849033236503601, ""mtp"": 1.8834190368652344}",1.81146,6.11938,207.90,5.97e-04,155852
2000,3.55121,"{""ntp"": 1.7332642078399658, ""mtp"": 1.8179423809051514}",1.71995,5.58424,229.99,5.92e-04,155878
2500,3.45803,"{""ntp"": 1.673966646194458, ""mtp"": 1.784067988395691}",1.66186,5.26909,241.37,5.86e-04,155875
3000,3.51813,"{""ntp"": 1.7140800952911377, ""mtp"": 1.8040506839752197}",1.61709,5.03838,249.09,5.78e-04,155915
3500,3.28474,"{""ntp"": 1.5757519006729126, ""mtp"": 1.7089899778366089}",1.58556,4.88204,257.43,5.69e-04,156014
4000,3.20054,"{""ntp"": 1.5269379615783691, ""mtp"": 1.6736021041870117}",1.55652,4.74228,260.64,5.58e-04,156058
4500,3.25192,"{""ntp"": 1.5568963289260864, ""mtp"": 1.695020079612732}",1.53300,4.63206,261.22,5.46e-04,156093
5000,3.13653,"{""ntp"": 1.4895288944244385, ""mtp"": 1.6470035314559937}",1.51448,4.54707,262.04,5.32e-04,156138
5500,3.06697,"{""ntp"": 1.4513635635375977, ""mtp"": 1.615609049797058}",1.49511,4.45985,266.30,5.17e-04,156157
6000,3.10482,"{""ntp"": 1.4685553312301636, ""mtp"": 1.6362621784210205}",1.48313,4.40672,263.99,5.01e-04,156191
6500,3.13005,"{""ntp"": 1.4867581129074097, ""mtp"": 1.6432965993881226}",1.46572,4.33066,266.81,4.83e-04,156223
7000,3.05424,"{""ntp"": 1.434562087059021, ""mtp"": 1.6196825504302979}",1.45536,4.28601,264.45,4.65e-04,156243
7500,3.04229,"{""ntp"": 1.4384390115737915, ""mtp"": 1.6038531064987183}",1.44035,4.22218,267.39,4.46e-04,156256
8000,3.00024,"{""ntp"": 1.4032182693481445, ""mtp"": 1.5970252752304077}",1.43221,4.18793,263.06,4.26e-04,156269
8500,3.01389,"{""ntp"": 1.4204729795455933, ""mtp"": 1.5934218168258667}",1.42117,4.14195,265.91,4.05e-04,156276
9000,2.90334,"{""ntp"": 1.357024073600769, ""mtp"": 1.5463122129440308}",1.41036,4.09742,260.92,3.84e-04,156286
9500,3.02715,"{""ntp"": 1.423737645149231, ""mtp"": 1.6034080982208252}",1.39953,4.05331,264.94,3.63e-04,156294
10000,2.91151,"{""ntp"": 1.3540304899215698, ""mtp"": 1.557476282119751}",1.39171,4.02172,261.59,3.41e-04,156298
10500,2.92677,"{""ntp"": 1.3641897439956665, ""mtp"": 1.5625801086425781}",1.38516,3.99546,256.40,3.19e-04,156305
11000,2.89144,"{""ntp"": 1.3428596258163452, ""mtp"": 1.5485758781433105}",1.37817,3.96763,257.90,2.97e-04,156310
11500,2.98365,"{""ntp"": 1.4033076763153076, ""mtp"": 1.580338478088379}",1.36905,3.93160,253.29,2.76e-04,156314
12000,2.89036,"{""ntp"": 1.340433120727539, ""mtp"": 1.5499252080917358}",1.36323,3.90880,256.36,2.55e-04,156319
12500,2.84985,"{""ntp"": 1.3243829011917114, ""mtp"": 1.5254645347595215}",1.35481,3.87603,257.87,2.34e-04,156323
13000,2.87604,"{""ntp"": 1.332945466041565, ""mtp"": 1.5430935621261597}",1.34904,3.85373,255.10,2.14e-04,156331
13500,2.95434,"{""ntp"": 1.3793574571609497, ""mtp"": 1.5749824047088623}",1.34525,3.83916,254.16,1.95e-04,156340
14000,2.87049,"{""ntp"": 1.337531328201294, ""mtp"": 1.5329601764678955}",1.33628,3.80488,250.48,1.77e-04,156347
14500,2.79524,"{""ntp"": 1.289305329322815, ""mtp"": 1.505933165550232}",1.33288,3.79196,251.02,1.59e-04,156354
15000,2.81268,"{""ntp"": 1.2990772724151611, ""mtp"": 1.513607382774353}",1.32814,3.77403,250.79,1.43e-04,156359
15500,2.77764,"{""ntp"": 1.2837042808532715, ""mtp"": 1.4939345121383667}",1.32314,3.75519,250.68,1.28e-04,156365
16000,3.01976,"{""ntp"": 1.4178493022918701, ""mtp"": 1.6019138097763062}",1.32006,3.74366,245.65,1.14e-04,156371
16500,2.85007,"{""ntp"": 1.318660855293274, ""mtp"": 1.5314137935638428}",1.31576,3.72759,245.54,1.02e-04,156372
17000,2.68221,"{""ntp"": 1.2270305156707764, ""mtp"": 1.4551806449890137}",1.31110,3.71026,242.80,9.09e-05,156376
17500,2.77889,"{""ntp"": 1.2865434885025024, ""mtp"": 1.4923423528671265}",1.30895,3.70228,244.83,8.16e-05,156380
18000,2.84975,"{""ntp"": 1.3169647455215454, ""mtp"": 1.5327818393707275}",1.30645,3.69304,241.63,7.39e-05,156390
18500,2.86320,"{""ntp"": 1.3304765224456787, ""mtp"": 1.5327218770980835}",1.30396,3.68387,241.29,6.78e-05,156401
19000,2.79735,"{""ntp"": 1.288182020187378, ""mtp"": 1.5091665983200073}",1.30246,3.67833,242.00,6.35e-05,156407
19500,2.69991,"{""ntp"": 1.2388073205947876, ""mtp"": 1.461099624633789}",1.30005,3.66947,243.25,6.09e-05,156413
20000,2.75607,"{""ntp"": 1.269413948059082, ""mtp"": 1.486656665802002}",1.29991,3.66895,240.05,6.00e-05,156415
