step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,2.64564,"{""ntp"": 2.47448468208313, ""jepa_pertoken"": 0.17115531861782074}",2.51717,12.39350,111.25,6.00e-04,178337
1000,2.17807,"{""ntp"": 2.023270845413208, ""jepa_pertoken"": 0.15479643642902374}",1.98342,7.26754,173.41,5.99e-04,179252
1500,1.91267,"{""ntp"": 1.7732276916503906, ""jepa_pertoken"": 0.13943764567375183}",1.82405,6.19688,193.33,5.97e-04,179690
2000,1.80557,"{""ntp"": 1.6768206357955933, ""jepa_pertoken"": 0.12874794006347656}",1.73782,5.68491,202.83,5.92e-04,179941
2500,1.77989,"{""ntp"": 1.658839225769043, ""jepa_pertoken"": 0.12104658037424088}",1.67572,5.34265,200.43,5.86e-04,180098
3000,1.74099,"{""ntp"": 1.6270993947982788, ""jepa_pertoken"": 0.11389023810625076}",1.63587,5.13390,206.91,5.78e-04,180183
3500,1.68391,"{""ntp"": 1.5781946182250977, ""jepa_pertoken"": 0.10571841150522232}",1.60232,4.96456,203.26,5.69e-04,180215
4000,1.70145,"{""ntp"": 1.5981512069702148, ""jepa_pertoken"": 0.10329625755548477}",1.57258,4.81906,202.73,5.58e-04,180241
4500,1.63095,"{""ntp"": 1.5376354455947876, ""jepa_pertoken"": 0.09331685304641724}",1.54995,4.71123,201.06,5.46e-04,180254
5000,1.54432,"{""ntp"": 1.4579036235809326, ""jepa_pertoken"": 0.0864126980304718}",1.52774,4.60775,200.16,5.32e-04,180258
5500,1.57133,"{""ntp"": 1.4850281476974487, ""jepa_pertoken"": 0.08630653470754623}",1.51038,4.52845,209.05,5.17e-04,180287
6000,1.56398,"{""ntp"": 1.4801039695739746, ""jepa_pertoken"": 0.08387124538421631}",1.49296,4.45024,206.59,5.01e-04,180311
6500,1.56466,"{""ntp"": 1.4842880964279175, ""jepa_pertoken"": 0.08037646114826202}",1.47884,4.38785,200.95,4.83e-04,180344
7000,1.55402,"{""ntp"": 1.4766881465911865, ""jepa_pertoken"": 0.07733163982629776}",1.46713,4.33678,199.29,4.65e-04,180364
7500,1.49012,"{""ntp"": 1.4165595769882202, ""jepa_pertoken"": 0.07356352359056473}",1.45363,4.27862,199.50,4.46e-04,180377
8000,1.47630,"{""ntp"": 1.4052987098693848, ""jepa_pertoken"": 0.07099994271993637}",1.44052,4.22291,197.14,4.26e-04,180390
8500,1.48196,"{""ntp"": 1.4115811586380005, ""jepa_pertoken"": 0.07037392258644104}",1.43021,4.17960,195.27,4.05e-04,180400
9000,1.46123,"{""ntp"": 1.3939827680587769, ""jepa_pertoken"": 0.06724319607019424}",1.42238,4.14699,200.37,3.84e-04,180416
9500,1.44722,"{""ntp"": 1.380555272102356, ""jepa_pertoken"": 0.06666034460067749}",1.41101,4.10011,195.64,3.63e-04,180430
10000,1.49957,"{""ntp"": 1.4314956665039062, ""jepa_pertoken"": 0.06807758659124374}",1.40287,4.06687,196.28,3.41e-04,180442
10500,1.44633,"{""ntp"": 1.3811677694320679, ""jepa_pertoken"": 0.06516540795564651}",1.39459,4.03331,198.00,3.19e-04,180447
11000,1.53613,"{""ntp"": 1.4692636728286743, ""jepa_pertoken"": 0.06687045842409134}",1.38500,3.99482,196.68,2.97e-04,180459
11500,1.44301,"{""ntp"": 1.3802145719528198, ""jepa_pertoken"": 0.06279703974723816}",1.37779,3.96614,194.10,2.76e-04,180472
12000,1.35948,"{""ntp"": 1.299033761024475, ""jepa_pertoken"": 0.06044493615627289}",1.37165,3.94185,188.89,2.55e-04,180481
12500,1.34091,"{""ntp"": 1.2824771404266357, ""jepa_pertoken"": 0.05843159556388855}",1.36383,3.91114,194.22,2.34e-04,180490
13000,1.35017,"{""ntp"": 1.2900761365890503, ""jepa_pertoken"": 0.06009548529982567}",1.35602,3.88073,189.71,2.14e-04,180494
13500,1.41749,"{""ntp"": 1.3573335409164429, ""jepa_pertoken"": 0.06015496701002121}",1.35127,3.86234,192.90,1.95e-04,180499
14000,1.26901,"{""ntp"": 1.2121244668960571, ""jepa_pertoken"": 0.05688583850860596}",1.34601,3.84208,186.32,1.77e-04,180499
14500,1.30775,"{""ntp"": 1.2501215934753418, ""jepa_pertoken"": 0.05762821435928345}",1.33998,3.81897,189.89,1.59e-04,180507
15000,1.42293,"{""ntp"": 1.362878680229187, ""jepa_pertoken"": 0.06004760041832924}",1.33438,3.79765,193.02,1.43e-04,180513
15500,1.37028,"{""ntp"": 1.3107621669769287, ""jepa_pertoken"": 0.05952140688896179}",1.32972,3.77998,188.42,1.28e-04,180515
16000,1.35570,"{""ntp"": 1.297274112701416, ""jepa_pertoken"": 0.0584273599088192}",1.32549,3.76403,192.91,1.14e-04,180517
16500,1.29453,"{""ntp"": 1.238083839416504, ""jepa_pertoken"": 0.056448258459568024}",1.32256,3.75300,192.88,1.02e-04,180521
17000,1.35396,"{""ntp"": 1.2960540056228638, ""jepa_pertoken"": 0.05790209770202637}",1.31966,3.74213,188.40,9.09e-05,180525
17500,1.30090,"{""ntp"": 1.2445356845855713, ""jepa_pertoken"": 0.056362688541412354}",1.31691,3.73187,195.01,8.16e-05,180533
18000,1.35004,"{""ntp"": 1.2925193309783936, ""jepa_pertoken"": 0.057521041482686996}",1.31418,3.72171,191.16,7.39e-05,180537
18500,1.32549,"{""ntp"": 1.2679072618484497, ""jepa_pertoken"": 0.057582203298807144}",1.31216,3.71419,187.25,6.78e-05,180536
19000,1.28727,"{""ntp"": 1.2315752506256104, ""jepa_pertoken"": 0.05569925531744957}",1.30917,3.70310,192.24,6.35e-05,180538
19500,1.35110,"{""ntp"": 1.293413758277893, ""jepa_pertoken"": 0.057687073945999146}",1.30790,3.69841,193.42,6.09e-05,180538
20000,1.31537,"{""ntp"": 1.2587964534759521, ""jepa_pertoken"": 0.05656978860497475}",1.30629,3.69245,190.38,6.00e-05,180541
