step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,2.52716,"{""ntp"": 2.5271615982055664}",2.52827,12.53177,107.90,6.00e-04,184725
1000,2.01275,"{""ntp"": 2.0127487182617188}",1.97517,7.20785,168.31,5.99e-04,185653
1500,1.74362,"{""ntp"": 1.7436223030090332}",1.80849,6.10120,189.36,5.97e-04,186079
2000,1.74527,"{""ntp"": 1.7452696561813354}",1.71790,5.57279,193.79,5.92e-04,186226
2500,1.68698,"{""ntp"": 1.686981439590454}",1.66168,5.26814,190.98,5.86e-04,186315
3000,1.62434,"{""ntp"": 1.6243358850479126}",1.62151,5.06073,197.84,5.78e-04,186405
3500,1.65262,"{""ntp"": 1.6526169776916504}",1.58225,4.86589,194.61,5.69e-04,186454
4000,1.51480,"{""ntp"": 1.5148005485534668}",1.55971,4.75743,192.98,5.58e-04,186483
4500,1.53619,"{""ntp"": 1.5361889600753784}",1.53760,4.65339,193.51,5.46e-04,186520
5000,1.60594,"{""ntp"": 1.6059389114379883}",1.51930,4.56901,196.89,5.32e-04,186534
5500,1.46468,"{""ntp"": 1.4646812677383423}",1.49870,4.47587,191.25,5.17e-04,186564
6000,1.44595,"{""ntp"": 1.4459450244903564}",1.48311,4.40661,191.85,5.01e-04,186581
6500,1.46121,"{""ntp"": 1.4612085819244385}",1.47019,4.35006,190.09,4.83e-04,186595
7000,1.43624,"{""ntp"": 1.4362448453903198}",1.45727,4.29423,190.87,4.65e-04,186625
7500,1.44049,"{""ntp"": 1.4404867887496948}",1.44207,4.22942,189.36,4.46e-04,186644
8000,1.36594,"{""ntp"": 1.3659420013427734}",1.43128,4.18404,182.41,4.26e-04,186660
8500,1.33359,"{""ntp"": 1.3335944414138794}",1.42245,4.14726,191.55,4.05e-04,186669
9000,1.34783,"{""ntp"": 1.3478344678878784}",1.41266,4.10685,182.00,3.84e-04,186681
9500,1.34872,"{""ntp"": 1.3487217426300049}",1.40170,4.06211,192.31,3.63e-04,186691
10000,1.33606,"{""ntp"": 1.3360602855682373}",1.39589,4.03855,185.42,3.41e-04,186697
10500,1.37583,"{""ntp"": 1.3758296966552734}",1.38834,4.00818,181.26,3.19e-04,186711
11000,1.39412,"{""ntp"": 1.3941160440444946}",1.38051,3.97694,185.35,2.97e-04,186715
11500,1.34781,"{""ntp"": 1.3478103876113892}",1.37181,3.94249,182.58,2.76e-04,186726
12000,1.41096,"{""ntp"": 1.4109567403793335}",1.36263,3.90644,186.65,2.55e-04,186734
12500,1.29860,"{""ntp"": 1.2985966205596924}",1.35758,3.88677,186.80,2.34e-04,186734
13000,1.37279,"{""ntp"": 1.3727864027023315}",1.34955,3.85567,181.26,2.14e-04,186744
13500,1.34093,"{""ntp"": 1.3409278392791748}",1.34283,3.82985,182.79,1.95e-04,186749
14000,1.28635,"{""ntp"": 1.2863531112670898}",1.33822,3.81226,187.94,1.77e-04,186752
14500,1.28904,"{""ntp"": 1.2890410423278809}",1.33354,3.79447,179.46,1.59e-04,186750
15000,1.36342,"{""ntp"": 1.3634217977523804}",1.32779,3.77269,179.78,1.43e-04,186751
15500,1.34234,"{""ntp"": 1.3423372507095337}",1.32298,3.75460,183.94,1.28e-04,186754
16000,1.29568,"{""ntp"": 1.2956842184066772}",1.31933,3.74090,181.90,1.14e-04,186756
16500,1.28577,"{""ntp"": 1.2857656478881836}",1.31586,3.72796,181.66,1.02e-04,186741
17000,1.26215,"{""ntp"": 1.2621524333953857}",1.31219,3.71431,182.36,9.09e-05,186727
17500,1.26245,"{""ntp"": 1.262450933456421}",1.30921,3.70325,180.91,8.16e-05,186720
