step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,2.70731,"{""ntp"": 2.4725728034973145, ""jepa_pertoken"": 0.2347331941127777}",2.51170,12.32581,110.39,6.00e-04,167666
1000,2.23920,"{""ntp"": 2.0172054767608643, ""jepa_pertoken"": 0.22199714183807373}",1.98201,7.25733,173.57,5.99e-04,168439
1500,1.97602,"{""ntp"": 1.7696499824523926, ""jepa_pertoken"": 0.20637166500091553}",1.82146,6.18089,195.22,5.97e-04,168730
2000,1.86522,"{""ntp"": 1.6762232780456543, ""jepa_pertoken"": 0.18900156021118164}",1.73278,5.65638,204.71,5.92e-04,168843
2500,1.83766,"{""ntp"": 1.659185528755188, ""jepa_pertoken"": 0.17847329378128052}",1.67209,5.32329,198.98,5.86e-04,168881
3000,1.78729,"{""ntp"": 1.6194851398468018, ""jepa_pertoken"": 0.16780656576156616}",1.63015,5.10462,204.56,5.78e-04,168942
3500,1.73196,"{""ntp"": 1.5762722492218018, ""jepa_pertoken"": 0.1556880921125412}",1.59585,4.93254,204.90,5.69e-04,168996
4000,1.75054,"{""ntp"": 1.6000555753707886, ""jepa_pertoken"": 0.1504802703857422}",1.56505,4.78293,202.44,5.58e-04,169035
4500,1.67459,"{""ntp"": 1.5385898351669312, ""jepa_pertoken"": 0.1359996497631073}",1.54521,4.68894,202.94,5.46e-04,169080
5000,1.58327,"{""ntp"": 1.454068899154663, ""jepa_pertoken"": 0.12920436263084412}",1.52576,4.59862,199.97,5.32e-04,169145
5500,1.60281,"{""ntp"": 1.4774984121322632, ""jepa_pertoken"": 0.12531143426895142}",1.50762,4.51597,211.17,5.17e-04,169198
6000,1.60463,"{""ntp"": 1.4824049472808838, ""jepa_pertoken"": 0.12222886830568314}",1.48873,4.43145,208.87,5.01e-04,169219
6500,1.60431,"{""ntp"": 1.4870918989181519, ""jepa_pertoken"": 0.11721928417682648}",1.47440,4.36842,200.27,4.83e-04,169254
7000,1.58802,"{""ntp"": 1.4744625091552734, ""jepa_pertoken"": 0.11355741322040558}",1.46650,4.33406,203.92,4.65e-04,169289
7500,1.52197,"{""ntp"": 1.41405189037323, ""jepa_pertoken"": 0.10791882872581482}",1.44823,4.25559,203.59,4.46e-04,169312
8000,1.50423,"{""ntp"": 1.399890661239624, ""jepa_pertoken"": 0.1043349951505661}",1.43898,4.21637,202.40,4.26e-04,169319
8500,1.51997,"{""ntp"": 1.4153050184249878, ""jepa_pertoken"": 0.10466533899307251}",1.42650,4.16411,198.17,4.05e-04,169321
9000,1.49282,"{""ntp"": 1.3921148777008057, ""jepa_pertoken"": 0.10070880502462387}",1.42034,4.13852,204.40,3.84e-04,169330
9500,1.48059,"{""ntp"": 1.3805607557296753, ""jepa_pertoken"": 0.10002593696117401}",1.40924,4.09283,199.08,3.63e-04,169334
10000,1.53421,"{""ntp"": 1.434677243232727, ""jepa_pertoken"": 0.09953226894140244}",1.39948,4.05311,201.68,3.41e-04,169337
