step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,2.64161,"{""ntp"": 2.4776456356048584, ""jepa_pertoken"": 0.11744926869869232, ""jepa_pooled"": 0.046510711312294006}",2.51163,12.32494,107.94,6.00e-04,162409
1000,2.16537,"{""ntp"": 2.0185892581939697, ""jepa_pertoken"": 0.11124853789806366, ""jepa_pooled"": 0.03553658351302147}",1.98364,7.26913,173.38,5.99e-04,163352
1500,1.90269,"{""ntp"": 1.7670916318893433, ""jepa_pertoken"": 0.1053433045744896, ""jepa_pooled"": 0.03025880455970764}",1.82173,6.18257,193.13,5.97e-04,163631
2000,1.79070,"{""ntp"": 1.6710336208343506, ""jepa_pertoken"": 0.09610218554735184, ""jepa_pooled"": 0.023569144308567047}",1.73566,5.67265,203.52,5.92e-04,163753
2500,1.76436,"{""ntp"": 1.654361605644226, ""jepa_pertoken"": 0.09014169871807098, ""jepa_pooled"": 0.01985939033329487}",1.67514,5.33957,199.69,5.86e-04,163824
3000,1.72538,"{""ntp"": 1.6223009824752808, ""jepa_pertoken"": 0.08572858572006226, ""jepa_pooled"": 0.01735515706241131}",1.63080,5.10798,204.13,5.78e-04,163901
3500,1.66669,"{""ntp"": 1.5731686353683472, ""jepa_pertoken"": 0.07892078161239624, ""jepa_pooled"": 0.014599861577153206}",1.59921,4.94912,204.62,5.69e-04,163945
4000,1.68796,"{""ntp"": 1.5965020656585693, ""jepa_pertoken"": 0.07756996899843216, ""jepa_pooled"": 0.013890484347939491}",1.56592,4.78707,203.72,5.58e-04,163987
4500,1.61398,"{""ntp"": 1.5339620113372803, ""jepa_pertoken"": 0.06898146122694016, ""jepa_pooled"": 0.011037962511181831}",1.54774,4.70084,203.95,5.46e-04,164033
5000,1.52475,"{""ntp"": 1.4493967294692993, ""jepa_pertoken"": 0.06518232822418213, ""jepa_pooled"": 0.010169676505029202}",1.52570,4.59836,201.46,5.32e-04,164066
5500,1.55291,"{""ntp"": 1.479095220565796, ""jepa_pertoken"": 0.06413687765598297, ""jepa_pooled"": 0.0096753453835845}",1.50874,4.52102,212.24,5.17e-04,164133
